model,word_rep_mode,metric_family,metric,target,n_classes_total,n_features,features_covered,feature_control,spearman_r,spearman_p,pearson_r_on_rank_z,pearson_p_on_rank_z
bert-base-uncased,first,isotropy,iso,log10_n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.15229909037803555,0.24536583192623077,-0.16567321567321566,0.2058472855264133
bert-base-uncased,first,isotropy,iso,log10_n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.5986814654093299,4.3581972127327627e-07,0.5988011988011989,4.32924566564857e-07
bert-base-uncased,first,isotropy,iso,n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.15229909037803555,0.24536583192623077,-0.16567321567321566,0.2058472855264133
bert-base-uncased,first,isotropy,iso,n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.5986814654093299,4.3581972127327627e-07,0.5988011988011989,4.32924566564857e-07
bert-base-uncased,first,linear_id,lpca99,log10_n_tokens,45,4,"head_dist,index,length,pos",within-feature rank z-score,0.13632168754119972,0.3719007081729877,0.12119362119362127,0.4277525292492079
bert-base-uncased,first,linear_id,lpca99,log10_n_types,45,4,"head_dist,index,length,pos",within-feature rank z-score,0.8598549769281476,3.891661040436222e-14,0.8650830650830652,1.814988095563265e-14
bert-base-uncased,first,linear_id,lpca99,n_tokens,45,4,"head_dist,index,length,pos",within-feature rank z-score,0.13632168754119972,0.3719007081729877,0.12119362119362127,0.4277525292492079
bert-base-uncased,first,linear_id,lpca99,n_types,45,4,"head_dist,index,length,pos",within-feature rank z-score,0.8598549769281476,3.891661040436222e-14,0.8650830650830652,1.814988095563265e-14
bert-base-uncased,first,linear_id,pca99,log10_n_tokens,18,2,"arity,pos",within-feature rank z-score,0.15392561983471076,0.5419810929281197,0.16269841269841268,0.5189040867462084
bert-base-uncased,first,linear_id,pca99,log10_n_types,18,2,"arity,pos",within-feature rank z-score,0.566115702479339,0.014320691015606674,0.5833333333333333,0.011048280869218186
bert-base-uncased,first,linear_id,pca99,n_tokens,18,2,"arity,pos",within-feature rank z-score,0.15392561983471076,0.5419810929281197,0.16269841269841268,0.5189040867462084
bert-base-uncased,first,linear_id,pca99,n_types,18,2,"arity,pos",within-feature rank z-score,0.566115702479339,0.014320691015606674,0.5833333333333333,0.011048280869218186
bert-base-uncased,first,nonlinear_id,gride,log10_n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.05349244763414838,0.6847975020858617,-0.07056277056277056,0.5921329754051265
bert-base-uncased,first,nonlinear_id,gride,log10_n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.549862304931987,5.348574360406243e-06,0.561011211011211,3.1241668018380424e-06
bert-base-uncased,first,nonlinear_id,gride,n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.05349244763414838,0.6847975020858617,-0.07056277056277056,0.5921329754051265
bert-base-uncased,first,nonlinear_id,gride,n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.549862304931987,5.348574360406243e-06,0.561011211011211,3.1241668018380424e-06
gpt2,last,isotropy,iso,log10_n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.18104815154802634,0.16624738813501824,-0.2015429015429015,0.12254045938065013
gpt2,last,isotropy,iso,log10_n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.4818631950819216,9.691431427315917e-05,0.4906732156732157,6.887815456055823e-05
gpt2,last,isotropy,iso,n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.18104815154802634,0.16624738813501824,-0.2015429015429015,0.12254045938065013
gpt2,last,isotropy,iso,n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.4818631950819216,9.691431427315917e-05,0.4906732156732157,6.887815456055823e-05
gpt2,last,linear_id,lpca99,log10_n_tokens,33,3,"index,length,pos",within-feature rank z-score,-0.10344827586206895,0.5667179220638584,-0.12823035550308276,0.4769798662608097
gpt2,last,linear_id,lpca99,log10_n_types,33,3,"index,length,pos",within-feature rank z-score,0.7452293270840307,6.523811053053603e-07,0.7560671651580742,3.6131639215442485e-07
gpt2,last,linear_id,lpca99,n_tokens,33,3,"index,length,pos",within-feature rank z-score,-0.10344827586206895,0.5667179220638584,-0.12823035550308276,0.4769798662608097
gpt2,last,linear_id,lpca99,n_types,33,3,"index,length,pos",within-feature rank z-score,0.7452293270840307,6.523811053053603e-07,0.7560671651580742,3.6131639215442485e-07
gpt2,last,linear_id,pca99,log10_n_tokens,30,3,"arity,head_dist,pos",within-feature rank z-score,0.36370716510903434,0.04818720602996769,0.3637029637029637,0.04818998550571568
gpt2,last,linear_id,pca99,log10_n_types,30,3,"arity,head_dist,pos",within-feature rank z-score,0.5292612372051626,0.0026351043154257863,0.5295870795870796,0.002616150402635106
gpt2,last,linear_id,pca99,n_tokens,30,3,"arity,head_dist,pos",within-feature rank z-score,0.36370716510903434,0.04818720602996769,0.3637029637029637,0.04818998550571568
gpt2,last,linear_id,pca99,n_types,30,3,"arity,head_dist,pos",within-feature rank z-score,0.5292612372051626,0.0026351043154257863,0.5295870795870796,0.002616150402635106
gpt2,last,nonlinear_id,gride,log10_n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.06005730340204178,0.6485138713789663,-0.08325285825285826,0.5271205621557338
gpt2,last,nonlinear_id,gride,log10_n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.6257754040446187,8.97246036796839e-08,0.6357115107115109,4.83507114217331e-08
gpt2,last,nonlinear_id,gride,n_tokens,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,-0.06005730340204178,0.6485138713789663,-0.08325285825285826,0.5271205621557338
gpt2,last,nonlinear_id,gride,n_types,60,6,"arity,head_dist,index,length,pos,relation_type",within-feature rank z-score,0.6257754040446187,8.97246036796839e-08,0.6357115107115109,4.83507114217331e-08
