model,model_label,word_rep_mode,metric_family,family_label,metric,metric_label,target,target_label,spearman_r,spearman_p,pearson_r,pearson_p,n_classes,n_features,features_used
bert-base-uncased,BERT,first,isotropy,IsoScore,iso,IsoScore,n_tokens,Frequency,-0.09316735669232264,0.4789251304261095,-0.061396305697943625,0.6412086180245201,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,IsoScore,iso,IsoScore,n_types,Type frequency,0.6684542499096945,5.340771688366353e-09,0.5216250237123514,1.921231644493714e-05,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,linear_id,LID,lpca99,LID (lPCA99),n_tokens,Frequency,0.0447957839262187,0.7701414802273763,0.11467292922640324,0.4532052341827974,45,4,"head_dist, index, length, pos"
bert-base-uncased,BERT,first,linear_id,LID,lpca99,LID (lPCA99),n_types,Type frequency,0.8868247694334649,5.201671366920132e-16,0.6583599471399934,8.855200405985176e-07,45,4,"head_dist, index, length, pos"
bert-base-uncased,BERT,first,linear_id,LID,pca99,LID (PCA99),n_tokens,Frequency,0.35810113519091846,0.1445292896615503,0.39873361623236614,0.10120423492441273,18,2,"arity, pos"
bert-base-uncased,BERT,first,linear_id,LID,pca99,LID (PCA99),n_types,Type frequency,0.8782249742002064,1.6482702612246244e-06,0.9033641278172423,2.813342137848655e-07,18,2,"arity, pos"
bert-base-uncased,BERT,first,nonlinear_id,NLID,gride,NLID (GRIDE),n_tokens,Frequency,-0.019533475043216612,0.8822347599252784,0.06178626642936822,0.6390873990663797,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,nonlinear_id,NLID,gride,NLID (GRIDE),n_types,Type frequency,0.7495797386071902,5.553307140692164e-12,0.6442848137048843,2.785498405097699e-08,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,isotropy,IsoScore,iso,IsoScore,n_tokens,Frequency,-0.23517970521448853,0.07047645205725639,-0.11083910433396314,0.3991738947510108,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,isotropy,IsoScore,iso,IsoScore,n_types,Type frequency,0.48708651139059345,7.92406709694865e-05,0.20315358075737744,0.11951761623208486,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,linear_id,LID,lpca99,LID (lPCA99),n_tokens,Frequency,-0.1587566844919786,0.3775398845682104,0.10545011452607357,0.559193583856816,33,3,"index, length, pos"
gpt2,GPT-2,last,linear_id,LID,lpca99,LID (lPCA99),n_types,Type frequency,0.8228609625668449,4.1870216532611116e-09,0.5455472455985287,0.0010250429520435786,33,3,"index, length, pos"
gpt2,GPT-2,last,linear_id,LID,pca99,LID (PCA99),n_tokens,Frequency,0.09276974416017797,0.6258447366921261,-0.07754122279280977,0.6838035837078409,30,3,"arity, head_dist, pos"
gpt2,GPT-2,last,linear_id,LID,pca99,LID (PCA99),n_types,Type frequency,0.5777530589543938,0.0008276453593028324,0.31602650973894597,0.08888426768550077,30,3,"arity, head_dist, pos"
gpt2,GPT-2,last,nonlinear_id,NLID,gride,NLID (GRIDE),n_tokens,Frequency,0.06090665333532122,0.6438761604522465,0.11020245841930315,0.40190431750814315,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,nonlinear_id,NLID,gride,NLID (GRIDE),n_types,Type frequency,0.7656677642828976,1.0347422666699847e-12,0.6088312684107472,2.452877898474518e-07,60,6,"arity, head_dist, index, length, pos, relation_type"
