model,word_rep_mode,feature,metric_family,metric,class,mean_score,n_tokens,n_types,family_label,metric_label,model_label,row_label
bert-base-uncased,first,arity,isotropy,iso,0,0.0290549229830502,129064,7581,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,arity,isotropy,iso,1,0.0582889200976261,20239,6441,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,arity,isotropy,iso,2,0.0528995609627319,18037,5846,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,arity,isotropy,iso,3,0.0438812071314224,13546,4621,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,arity,isotropy,iso,4,0.0447228473539535,14030,4534,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,-1,0.0285302121192216,13038,2647,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,-2,0.0494152015218367,15690,5483,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,-3,0.0515345317813065,10487,4117,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,-4,0.0396534863572853,6684,3050,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,-5,0.0280487846869688,4545,2268,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,-6,0.0097928590571077,19585,4572,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,1,0.0334598619777422,57036,5218,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,2,0.0330696661884967,28588,2747,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,3,0.0324506511768469,13592,1840,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,4,0.0297516650305343,6439,1171,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,5,0.0253952897082154,3249,795,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,isotropy,iso,6,0.0257732057227537,5937,1779,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,1,0.0179336035910706,10067,1600,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,10,0.0289197423710272,108145,12235,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,2,0.0316561557925664,9647,2309,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,3,0.039310724259569,9800,2483,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,4,0.0396409228157538,9932,2701,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,5,0.0388080423267987,9948,2876,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,6,0.0371117686422971,9972,2891,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,7,0.035767675592349,9559,2820,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,index,isotropy,iso,8,0.0343704838305711,9142,2709,IsoScore,IsoScore,BERT,BERT IsoScore
