model,model_label,word_rep_mode,metric_family,metric,metric_label,layer,target,target_label,spearman_r,spearman_p,pearson_r,pearson_p,n_classes,n_features,features_used
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,12,n_tokens,Frequency,-0.037872683319903296,0.7738883806096621,-0.1695062375419898,0.19540230634753852,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,12,n_types,Type frequency,0.4293811998110533,0.0006182438848127953,0.265325692244162,0.040476669869402376,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,linear_id,lpca99,LID (lPCA99),12,n_tokens,Frequency,0.4597648146372454,0.0014861176513072676,0.248245425126791,0.10012003449977921,45,4,"head_dist, index, length, pos"
bert-base-uncased,BERT,first,linear_id,lpca99,LID (lPCA99),12,n_types,Type frequency,0.6086498241056756,9.167703598479447e-06,0.48626225553246527,0.0007075208795895267,45,4,"head_dist, index, length, pos"
bert-base-uncased,BERT,first,linear_id,pca99,LID (PCA99),12,n_tokens,Frequency,0.48606811145510836,0.040833484782080216,0.3982173793289077,0.10168776671835611,18,2,"arity, pos"
bert-base-uncased,BERT,first,linear_id,pca99,LID (PCA99),12,n_types,Type frequency,0.7770897832817338,0.00014812554588688426,0.7947418769427761,8.130406890224484e-05,18,2,"arity, pos"
bert-base-uncased,BERT,first,nonlinear_id,gride,NLID (GRIDE),12,n_tokens,Frequency,0.0913890355386368,0.48739349502110796,0.03207905377188681,0.8077584618800415,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,nonlinear_id,gride,NLID (GRIDE),12,n_types,Type frequency,0.6119369807441161,2.0489733822936145e-07,0.5443050181472374,6.9426903892854656e-06,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,isotropy,iso,IsoScore,12,n_tokens,Frequency,-0.13212186889117356,0.3142697768264895,0.012489243981552357,0.9245452779413058,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,isotropy,iso,IsoScore,12,n_types,Type frequency,0.23042831939316552,0.07651681842363299,0.1186731825854955,0.36647366726897224,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,linear_id,lpca99,LID (lPCA99),12,n_tokens,Frequency,-0.13001336898395724,0.4708224740961786,0.13233147061219977,0.4628800149032547,33,3,"index, length, pos"
gpt2,GPT-2,last,linear_id,lpca99,LID (lPCA99),12,n_types,Type frequency,0.6778074866310161,1.4675021378181646e-05,0.5208372833001792,0.001885997714063594,33,3,"index, length, pos"
gpt2,GPT-2,last,linear_id,pca99,LID (PCA99),12,n_tokens,Frequency,0.2422691879866518,0.19708696405477033,0.15612599011677025,0.41001274380823,30,3,"arity, head_dist, pos"
gpt2,GPT-2,last,linear_id,pca99,LID (PCA99),12,n_types,Type frequency,0.6364849833147942,0.0001561453191128838,0.5831732311577137,0.0007189785102910487,30,3,"arity, head_dist, pos"
gpt2,GPT-2,last,nonlinear_id,gride,NLID (GRIDE),12,n_tokens,Frequency,-0.018422039763374986,0.8888918552689375,0.06222274727588413,0.6367165366575209,60,6,"arity, head_dist, index, length, pos, relation_type"
gpt2,GPT-2,last,nonlinear_id,gride,NLID (GRIDE),12,n_types,Type frequency,0.44476861311062355,0.00037023674945091016,0.3420927362261496,0.007465399683616761,60,6,"arity, head_dist, index, length, pos, relation_type"
