metric,corrint,erank,ess,fishers,iso,lpca,lpca95,lpca99,mada,mle,mom,pr,sf,stable_rank,tle,twonn,vmf_kappa
corrint,1.0,0.4653846153846154,0.16846153846153847,0.3729512118531102,-0.14153846153846153,0.31588622777072756,0.6818192811195998,0.4431854619534189,0.8453846153846154,0.87,0.4153846153846154,0.41923076923076924,0.4692307692307692,-0.14153846153846153,0.8853846153846154,0.6146153846153846,0.36846153846153845
erank,0.4653846153846154,1.0,0.8546153846153846,0.7088005414907814,0.40076923076923077,0.7849414702665561,0.7741659259967769,0.7710938230494688,0.2369230769230769,0.4746153846153846,0.6215384615384615,0.98,0.7776923076923077,0.40076923076923077,0.46076923076923076,0.5284615384615384,0.2915384615384616
ess,0.16846153846153847,0.8546153846153846,1.0,0.7304433061164542,0.5892307692307692,0.7570925584983559,0.5443163473377235,0.6533726847180918,-0.09230769230769231,0.2723076923076923,0.48538461538461536,0.8661538461538462,0.8292307692307692,0.5892307692307692,0.24923076923076923,0.39615384615384613,0.10538461538461538
fishers,0.37295121185311014,0.7088005414907814,0.7304433061164542,0.9999999999999999,0.1484075288617558,0.8559037197221288,0.7200720750445941,0.8554624547339842,0.029758801360299982,0.3996181896954569,0.2894719768683726,0.67053922545611,0.7833907838614036,0.1484075288617558,0.4011641014544336,0.3930480647198063,0.2593266975683285
iso,-0.14153846153846153,0.40076923076923077,0.5892307692307692,0.1484075288617558,1.0,0.2792848008753788,0.025222431640462516,0.0985761781183156,-0.1176923076923077,-0.09846153846153846,0.08076923076923077,0.4746153846153846,0.20461538461538462,1.0,-0.17846153846153845,0.29846153846153844,-0.04461538461538461
lpca,0.31588622777072756,0.784941470266556,0.7570925584983559,0.8559037197221288,0.2792848008753788,1.0,0.7044241798299429,0.9132701299361535,-0.002387049580131443,0.315488386174039,0.34134808995879634,0.7431681026142558,0.7344155874871072,0.2792848008753788,0.29400493995285604,0.29241357356610176,0.29201573196941316
lpca95,0.6818192811195997,0.7741659259967769,0.5443163473377234,0.7200720750445941,0.02522243164046252,0.7044241798299429,1.0,0.7742358901784785,0.43651079274542387,0.6923964298720517,0.4763785072738969,0.7347050248818598,0.6708353189535918,0.02522243164046252,0.69158280304494,0.6183563886048875,0.5304846912768245
lpca99,0.44318546195341896,0.7710938230494688,0.6533726847180918,0.8554624547339842,0.09857617811831561,0.9132701299361535,0.7742358901784785,1.0,0.15886243581050866,0.47373593037851675,0.3706790168911868,0.7209910548323084,0.7438020712563814,0.09857617811831561,0.45825702637646726,0.39837810826327547,0.35194139625712684
mada,0.8453846153846154,0.2369230769230769,-0.09230769230769231,0.029758801360299986,-0.1176923076923077,-0.002387049580131443,0.4365107927454239,0.15886243581050866,1.0,0.8061538461538461,0.14076923076923076,0.23153846153846153,0.1276923076923077,-0.1176923076923077,0.7892307692307692,0.6084615384615384,0.35307692307692307
mle,0.87,0.4746153846153846,0.2723076923076923,0.3996181896954569,-0.09846153846153846,0.315488386174039,0.6923964298720516,0.4737359303785167,0.8061538461538461,1.0,0.33999999999999997,0.4653846153846154,0.6038461538461538,-0.09846153846153846,0.9853846153846154,0.6176923076923077,0.3876923076923077
mom,0.4153846153846154,0.6215384615384615,0.48538461538461536,0.2894719768683726,0.08076923076923077,0.34134808995879634,0.4763785072738969,0.37067901689118676,0.14076923076923076,0.33999999999999997,1.0,0.6046153846153847,0.5792307692307693,0.08076923076923077,0.3738461538461539,0.31769230769230766,-0.2323076923076923
pr,0.41923076923076924,0.98,0.8661538461538462,0.67053922545611,0.4746153846153846,0.7431681026142558,0.7347050248818598,0.7209910548323084,0.23153846153846153,0.4653846153846154,0.6046153846153847,1.0,0.7592307692307693,0.4746153846153846,0.44538461538461543,0.5684615384615384,0.23846153846153845
sf,0.4692307692307692,0.7776923076923077,0.8292307692307692,0.7833907838614036,0.20461538461538462,0.7344155874871072,0.6708353189535918,0.7438020712563814,0.1276923076923077,0.6038461538461538,0.5792307692307693,0.7592307692307693,1.0,0.20461538461538462,0.6115384615384616,0.3976923076923076,0.10999999999999999
stable_rank,-0.14153846153846153,0.40076923076923077,0.5892307692307692,0.1484075288617558,1.0,0.2792848008753788,0.025222431640462516,0.0985761781183156,-0.1176923076923077,-0.09846153846153846,0.08076923076923077,0.4746153846153846,0.20461538461538462,1.0,-0.17846153846153845,0.29846153846153844,-0.04461538461538461
tle,0.8853846153846154,0.46076923076923076,0.24923076923076923,0.4011641014544336,-0.17846153846153845,0.294004939952856,0.69158280304494,0.4582570263764672,0.7892307692307692,0.9853846153846154,0.3738461538461539,0.44538461538461543,0.6115384615384616,-0.17846153846153845,1.0,0.5853846153846154,0.3484615384615385
twonn,0.6146153846153846,0.5284615384615384,0.39615384615384613,0.39304806471980636,0.29846153846153844,0.29241357356610176,0.6183563886048875,0.39837810826327547,0.6084615384615384,0.6176923076923077,0.31769230769230766,0.5684615384615384,0.3976923076923076,0.29846153846153844,0.5853846153846154,1.0,0.1853846153846154
vmf_kappa,0.36846153846153845,0.2915384615384616,0.10538461538461538,0.25932669756832843,-0.04461538461538461,0.2920157319694132,0.5304846912768245,0.35194139625712684,0.35307692307692307,0.3876923076923077,-0.2323076923076923,0.23846153846153845,0.10999999999999999,-0.04461538461538461,0.3484615384615385,0.1853846153846154,1.0
