metric,corrint,erank,ess,fishers,iso,lpca,lpca95,lpca99,mada,mle,mom,pr,sf,stable_rank,tle,twonn,vmf_kappa
corrint,,0.04181252623133266,0.5110218671837242,0.11276311037982023,0.5787084429031952,0.18810920261129613,0.0006978095657496543,0.0546001212505856,1.291682196378183e-06,3.658711046403313e-07,0.07672620422133446,0.07394928842355863,0.040723114422655825,0.5787084429031952,1.1156123662628789e-07,0.0035800844227707883,0.11598203288433395
erank,0.04181252623133266,,7.34170620086852e-07,0.0003315340964778997,0.08882514616592598,3.067467260875801e-05,4.0118612812961906e-05,4.379416119412076e-05,0.33236725511529475,0.03860742944589794,0.003263353893847759,5.679755442730946e-16,3.8126485155773513e-05,0.08882514616592598,0.04414052257008682,0.01697222350210683,0.2229298542831062
ess,0.5110218671837242,7.34170620086852e-07,,0.00017064985173764204,0.005613256820717651,7.309375778182064e-05,0.013088067730449024,0.0014630314379740941,0.7020695626845432,0.255514177977741,0.035035543281048506,4.299806423839761e-07,3.413894128573317e-06,0.005613256820717651,0.30611365762642423,0.08937875523144956,0.6812464738004322
fishers,0.11276311037982023,0.0003315340964778997,0.00017064985173764204,,0.5664168200526255,7.34170620086852e-07,0.00023173775518212618,7.34170620086852e-07,0.90772972206067,0.08882514616592598,0.2249770082952286,0.0009236068197386106,3.0977867530335646e-05,0.5664168200526255,0.08882514616592598,0.09172936995478197,0.28363787206054325
iso,0.5787084429031952,0.08882514616592598,0.005613256820717651,0.5664168200526255,,0.24228565889224143,0.9114428992101063,0.6849368259747783,0.6465992575416175,0.6849368259747783,0.7334873090773191,0.03860742944589794,0.411183134420042,0.0,0.48197683919330253,0.2177298888589422,0.8575142872065497
lpca,0.18810920261129613,3.067467260875801e-05,7.309375778182064e-05,7.34170620086852e-07,0.24228565889224143,,0.0003717949934245539,6.504419851636567e-09,0.9909648025104425,0.18810920261129613,0.15012026742378776,0.0001179779417975102,0.00015266918353057013,0.24228565889224143,0.2229298542831062,0.2229298542831062,0.2229298542831062
lpca95,0.0006978095657496543,4.0118612812961906e-05,0.013088067730449024,0.00023173775518212618,0.9114428992101063,0.0003717949934245539,,4.0118612812961906e-05,0.05915043726887229,0.0005304697097944909,0.03860742944589794,0.00015266918353057013,0.0009236068197386106,0.9114428992101063,0.0005304697097944909,0.0034062804221772136,0.016665488073684863
lpca99,0.0546001212505856,4.379416119412076e-05,0.0014630314379740941,7.34170620086852e-07,0.6849368259747783,6.504419851636567e-09,4.0118612812961906e-05,,0.539380926426904,0.03860742944589794,0.11439866186810817,0.00023173775518212618,0.0001179779417975102,0.6849368259747783,0.045125535800650145,0.08882514616592598,0.13676370716710565
mada,1.291682196378183e-06,0.33236725511529475,0.7020695626845432,0.90772972206067,0.6465992575416175,0.9909648025104425,0.05915043726887229,0.539380926426904,,1.1995971739057548e-05,0.5787084429031952,0.34055602370931126,0.620578682862934,0.6465992575416175,2.6669866963148507e-05,0.003952733252741022,0.13666294754314637
mle,3.658711046403313e-07,0.03860742944589794,0.255514177977741,0.08882514616592598,0.6849368259747783,0.18810920261129613,0.0005304697097944909,0.03860742944589794,1.1995971739057548e-05,,0.15057883442795972,0.04181252623133266,0.0042080211732995814,0.6849368259747783,2.3728691680121035e-17,0.0034062804221772136,0.09678274749985201
mom,0.07672620422133446,0.003263353893847759,0.035035543281048506,0.2249770082952286,0.7334873090773191,0.15012026742378776,0.03860742944589794,0.11439866186810817,0.5787084429031952,0.15057883442795972,,0.0042080211732995814,0.006696287010852626,0.7334873090773191,0.11276311037982023,0.18810920261129613,0.34055602370931126
pr,0.07394928842355863,5.679755442730946e-16,4.299806423839761e-07,0.0009236068197386106,0.03860742944589794,0.0001179779417975102,0.00015266918353057013,0.00023173775518212618,0.34055602370931126,0.04181252623133266,0.0042080211732995814,,6.997223306935878e-05,0.03860742944589794,0.05370920357335761,0.008237059904134944,0.33141894587353093
sf,0.040723114422655825,3.8126485155773513e-05,3.413894128573317e-06,3.0977867530335646e-05,0.411183134420042,0.00015266918353057013,0.0009236068197386106,0.0001179779417975102,0.620578682862934,0.0042080211732995814,0.006696287010852626,6.997223306935878e-05,,0.411183134420042,0.0037621377451547925,0.08882514616592598,0.6696010618966568
stable_rank,0.5787084429031952,0.08882514616592598,0.005613256820717651,0.5664168200526255,0.0,0.24228565889224143,0.9114428992101063,0.6849368259747783,0.6465992575416175,0.6849368259747783,0.7334873090773191,0.03860742944589794,0.411183134420042,,0.48197683919330253,0.2177298888589422,0.8575142872065497
tle,1.1156123662628789e-07,0.04414052257008682,0.30611365762642423,0.08882514616592598,0.48197683919330253,0.2229298542831062,0.0005304697097944909,0.045125535800650145,2.6669866963148507e-05,2.3728691680121035e-17,0.11276311037982023,0.05370920357335761,0.0037621377451547925,0.48197683919330253,,0.005982167269735846,0.14048975041080078
twonn,0.0035800844227707883,0.01697222350210683,0.08937875523144956,0.09172936995478197,0.2177298888589422,0.2229298542831062,0.0034062804221772136,0.08882514616592598,0.003952733252741022,0.0034062804221772136,0.18810920261129613,0.008237059904134944,0.08882514616592598,0.2177298888589422,0.005982167269735846,,0.4678581675773924
vmf_kappa,0.11598203288433395,0.2229298542831062,0.6812464738004322,0.28363787206054325,0.8575142872065497,0.2229298542831062,0.016665488073684863,0.13676370716710565,0.13666294754314637,0.09678274749985201,0.34055602370931126,0.33141894587353093,0.6696010618966568,0.8575142872065497,0.14048975041080078,0.4678581675773924,
