layer,shard,metric,value,model,word_rep_mode
0,0,iso,0.012998923659324646,bert-base-uncased,first
1,0,iso,0.018269643187522888,bert-base-uncased,first
2,0,iso,0.019105738028883934,bert-base-uncased,first
3,0,iso,0.019628852605819702,bert-base-uncased,first
4,0,iso,0.01861765794456005,bert-base-uncased,first
5,0,iso,0.01834831014275551,bert-base-uncased,first
6,0,iso,0.019551513716578484,bert-base-uncased,first
7,0,iso,0.019984476268291473,bert-base-uncased,first
8,0,iso,0.020005762577056885,bert-base-uncased,first
9,0,iso,0.020680323243141174,bert-base-uncased,first
10,0,iso,0.019541585817933083,bert-base-uncased,first
11,0,iso,0.01879638060927391,bert-base-uncased,first
12,0,iso,0.009946489706635475,bert-base-uncased,first
0,0,rand,,bert-base-uncased,first
1,0,rand,,bert-base-uncased,first
2,0,rand,,bert-base-uncased,first
3,0,rand,,bert-base-uncased,first
4,0,rand,,bert-base-uncased,first
5,0,rand,,bert-base-uncased,first
6,0,rand,,bert-base-uncased,first
7,0,rand,,bert-base-uncased,first
8,0,rand,,bert-base-uncased,first
9,0,rand,,bert-base-uncased,first
10,0,rand,,bert-base-uncased,first
11,0,rand,,bert-base-uncased,first
12,0,rand,,bert-base-uncased,first
0,0,sf,0.2601560354232788,bert-base-uncased,first
1,0,sf,0.3069378137588501,bert-base-uncased,first
2,0,sf,0.3122747838497162,bert-base-uncased,first
3,0,sf,0.3366602659225464,bert-base-uncased,first
4,0,sf,0.35311976075172424,bert-base-uncased,first
5,0,sf,0.3577086925506592,bert-base-uncased,first
6,0,sf,0.372792512178421,bert-base-uncased,first
7,0,sf,0.3704020380973816,bert-base-uncased,first
8,0,sf,0.36972776055336,bert-base-uncased,first
9,0,sf,0.36370137333869934,bert-base-uncased,first
10,0,sf,0.2939514219760895,bert-base-uncased,first
11,0,sf,0.2541353106498718,bert-base-uncased,first
12,0,sf,0.31088605523109436,bert-base-uncased,first
0,0,vmf_kappa,304.8890380859375,bert-base-uncased,first
1,0,vmf_kappa,364.6850280761719,bert-base-uncased,first
2,0,vmf_kappa,443.6923828125,bert-base-uncased,first
3,0,vmf_kappa,448.5376281738281,bert-base-uncased,first
4,0,vmf_kappa,498.21002197265625,bert-base-uncased,first
5,0,vmf_kappa,554.0501098632812,bert-base-uncased,first
6,0,vmf_kappa,540.0057373046875,bert-base-uncased,first
7,0,vmf_kappa,527.354736328125,bert-base-uncased,first
8,0,vmf_kappa,520.724609375,bert-base-uncased,first
9,0,vmf_kappa,478.0702819824219,bert-base-uncased,first
10,0,vmf_kappa,489.15606689453125,bert-base-uncased,first
11,0,vmf_kappa,585.5654907226562,bert-base-uncased,first
12,0,vmf_kappa,485.6171569824219,bert-base-uncased,first
0,0,erank,25.507396697998047,bert-base-uncased,first
1,0,erank,27.458066940307617,bert-base-uncased,first
2,0,erank,27.606481552124023,bert-base-uncased,first
3,0,erank,28.582319259643555,bert-base-uncased,first
4,0,erank,29.512144088745117,bert-base-uncased,first
