,iso,sf,vmf_kappa,erank,pr,stable_rank,lpca,lpca95,lpca99,twonn,gride,mle,mom,tle,ess,mada,corrint,fishers
iso,1.0,0.4925013125328134,0.6352241188120596,0.9704342608565216,1.0,0.9737718442961076,0.9809477470666131,0.7919734167672424,0.7887580942508112,-0.12379359483987103,0.05641341033525839,-0.0008910222755568889,0.3795484887122178,0.17423985599639993,0.18178354458861473,0.27556138903472593,0.8269061726543165,0.9540493167701753
sf,0.4925013125328134,1.0,0.23160812705624034,0.523675091877297,0.4925013125328134,0.477095927398185,0.4776272158798947,0.5414981117089785,0.5298472395279353,-0.0004035100877521938,0.10494562364059103,0.15879696992424813,0.3314482862071552,0.16098552463811594,0.16290857271431786,0.2493842346058652,0.44590114752868826,0.45825430004835516
vmf_kappa,0.6352241188120596,0.23160812705624034,1.0,0.6177561755629984,0.6352241188120595,0.5703054715013794,0.5796169680277155,0.46104269840743095,0.45606719550126135,-0.015032631453024178,0.12740798297757702,0.08674570117217334,0.19447318475707692,0.0686259913845362,0.03450162547874895,0.066486187087002,0.5697332069801673,0.6063593411378299
erank,0.9704342608565216,0.523675091877297,0.6177561755629984,1.0,0.9704342608565216,0.9065221630540765,0.9246297955784691,0.8838694959424298,0.8617914996530986,-0.1147468686717168,0.16482562064051606,0.08516162904072602,0.4855816395409886,0.22133953348833726,0.23297682442061055,0.3364614115352884,0.8089687242181055,0.8995259127925075
pr,1.0,0.4925013125328134,0.6352241188120595,0.9704342608565216,1.0,0.9737718442961076,0.9809477470666131,0.7919734167672424,0.7887580942508112,-0.12379359483987103,0.05641341033525839,-0.0008910222755568889,0.3795484887122178,0.17423985599639993,0.18178354458861473,0.27556138903472593,0.8269061726543165,0.9540493167701753
stable_rank,0.9737718442961076,0.477095927398185,0.5703054715013794,0.9065221630540765,0.9737718442961076,1.0,0.993743357403924,0.7173412149814985,0.7327600012389549,-0.12230255756393912,-0.005040126003150079,-0.03257181429535739,0.29505137628440714,0.15321833045826147,0.16048901222530565,0.2473741843546089,0.8045061126528165,0.9697614713581603
lpca,0.9809477470666131,0.4776272158798947,0.5796169680277155,0.9246297955784691,0.9809477470666131,0.993743357403924,1.0,0.7373031057431515,0.7504785076817215,-0.1151094457196987,0.012096712524225887,-0.030878371370173973,0.3179654743374482,0.14990044372982955,0.17259623060738455,0.25360907195508753,0.8084858910119055,0.9691355244343288
lpca95,0.7919734167672424,0.5414981117089785,0.46104269840743095,0.8838694959424298,0.7919734167672424,0.7173412149814985,0.7373031057431515,1.0,0.9137031190998692,-0.06807179111471676,0.26137094003067296,0.2549058509142057,0.560905580217364,0.2671321747882703,0.28740516301205926,0.3685245685149283,0.6806927462567638,0.7164628876092578
lpca99,0.7887580942508112,0.5298472395279353,0.45606719550126135,0.8617914996530986,0.7887580942508112,0.7327600012389549,0.7504785076817215,0.9137031190998692,1.0,-0.0507980558129235,0.24154476723204193,0.21630086416383593,0.5080081885075503,0.2655934590782677,0.2992741008051947,0.36163428578398565,0.6742696481030619,0.7319932151700135
twonn,-0.12379359483987103,-0.0004035100877521938,-0.015032631453024178,-0.1147468686717168,-0.12379359483987103,-0.12230255756393912,-0.1151094457196987,-0.06807179111471676,-0.0507980558129235,1.0,0.07813245331133281,0.1629415735393385,0.08837170929273233,0.2527968199204981,0.09893347333683343,0.09320783019575492,-0.09992349808745221,-0.1181910434194013
gride,0.05641341033525839,0.10494562364059103,0.12740798297757702,0.16482562064051606,0.05641341033525839,-0.005040126003150079,0.012096712524225887,0.26137094003067296,0.24154476723204193,0.07813245331133281,1.0,0.5263091577289433,0.34673516837920954,0.261705542638566,0.21126678166954174,0.2868956723918098,0.10392259806495163,0.056655708884519713
mle,-0.0008910222755568889,0.15879696992424813,0.08674570117217334,0.08516162904072602,-0.0008910222755568889,-0.03257181429535739,-0.030878371370173973,0.2549058509142057,0.21630086416383593,0.1629415735393385,0.5263091577289433,1.0,0.2638640966024151,0.43836795919898003,0.2442601065026626,0.4483792094802371,-0.0018195454886372163,-0.003018827734815021
mom,0.3795484887122178,0.3314482862071552,0.19447318475707692,0.4855816395409886,0.3795484887122178,0.29505137628440714,0.3179654743374482,0.560905580217364,0.5080081885075503,0.08837170929273233,0.34673516837920954,0.2638640966024151,1.0,0.6665371634290859,0.47960699017475444,0.6349328733218331,0.5502332558313959,0.3193514733005273
tle,0.17423985599639993,0.16098552463811594,0.0686259913845362,0.22133953348833726,0.17423985599639993,0.15321833045826147,0.14990044372982955,0.2671321747882703,0.2655934590782677,0.2527968199204981,0.261705542638566,0.43836795919898003,0.6665371634290859,1.0,0.431598289957249,0.7965019125478139,0.26786319657991453,0.15229067148483358
ess,0.18178354458861473,0.16290857271431786,0.03450162547874895,0.23297682442061055,0.18178354458861473,0.16048901222530565,0.17259623060738455,0.28740516301205926,0.2992741008051947,0.09893347333683343,0.21126678166954174,0.2442601065026626,0.47960699017475444,0.431598289957249,1.0,0.35705992649816254,0.3329273231830796,0.16772306886907057
mada,0.27556138903472593,0.2493842346058652,0.066486187087002,0.3364614115352884,0.27556138903472593,0.2473741843546089,0.25360907195508753,0.3685245685149283,0.36163428578398565,0.09320783019575492,0.2868956723918098,0.4483792094802371,0.6349328733218331,0.7965019125478139,0.35705992649816254,1.0,0.2591584789619741,0.2488414076663174
corrint,0.8269061726543165,0.44590114752868826,0.5697332069801673,0.8089687242181055,0.8269061726543165,0.8045061126528165,0.8084858910119055,0.6806927462567638,0.6742696481030619,-0.09992349808745221,0.10392259806495163,-0.0018195454886372163,0.5502332558313959,0.26786319657991453,0.3329273231830796,0.2591584789619741,1.0,0.8047129713592389
fishers,0.9540493167701753,0.45825430004835516,0.6063593411378299,0.8995259127925075,0.9540493167701753,0.9697614713581603,0.9691355244343288,0.7164628876092578,0.7319932151700135,-0.1181910434194013,0.056655708884519713,-0.003018827734815021,0.3193514733005273,0.15229067148483358,0.16772306886907057,0.2488414076663174,0.8047129713592389,1.0
