,iso,sf,vmf_kappa,erank,pr,stable_rank,lpca,lpca95,lpca99,twonn,gride,mle,mom,tle,ess,mada,corrint,fishers
iso,1.00,0.49***,0.64***,0.97***,1.00***,0.97***,0.98***,0.79***,0.79***,-0.12,0.06,-0.00,0.38***,0.17*,0.18**,0.28***,0.83***,0.95***
sf,0.49***,1.00,0.23***,0.52***,0.49***,0.48***,0.48***,0.54***,0.53***,-0.00,0.10,0.16*,0.33***,0.16*,0.16*,0.25***,0.45***,0.46***
vmf_kappa,0.64***,0.23***,1.00,0.62***,0.64***,0.57***,0.58***,0.46***,0.46***,-0.02,0.13,0.09,0.19**,0.07,0.03,0.07,0.57***,0.61***
erank,0.97***,0.52***,0.62***,1.00,0.97***,0.91***,0.92***,0.88***,0.86***,-0.11,0.16*,0.09,0.49***,0.22**,0.23***,0.34***,0.81***,0.90***
pr,1.00***,0.49***,0.64***,0.97***,1.00,0.97***,0.98***,0.79***,0.79***,-0.12,0.06,-0.00,0.38***,0.17*,0.18**,0.28***,0.83***,0.95***
stable_rank,0.97***,0.48***,0.57***,0.91***,0.97***,1.00,0.99***,0.72***,0.73***,-0.12,-0.01,-0.03,0.30***,0.15*,0.16*,0.25***,0.80***,0.97***
lpca,0.98***,0.48***,0.58***,0.92***,0.98***,0.99***,1.00,0.74***,0.75***,-0.12,0.01,-0.03,0.32***,0.15*,0.17*,0.25***,0.81***,0.97***
lpca95,0.79***,0.54***,0.46***,0.88***,0.79***,0.72***,0.74***,1.00,0.91***,-0.07,0.26***,0.25***,0.56***,0.27***,0.29***,0.37***,0.68***,0.72***
lpca99,0.79***,0.53***,0.46***,0.86***,0.79***,0.73***,0.75***,0.91***,1.00,-0.05,0.24***,0.22**,0.51***,0.27***,0.30***,0.36***,0.67***,0.73***
twonn,-0.12,-0.00,-0.02,-0.11,-0.12,-0.12,-0.12,-0.07,-0.05,1.00,0.08,0.16*,0.09,0.25***,0.10,0.09,-0.10,-0.12
gride,0.06,0.10,0.13,0.16*,0.06,-0.01,0.01,0.26***,0.24***,0.08,1.00,0.53***,0.35***,0.26***,0.21**,0.29***,0.10,0.06
mle,-0.00,0.16*,0.09,0.09,-0.00,-0.03,-0.03,0.25***,0.22**,0.16*,0.53***,1.00,0.26***,0.44***,0.24***,0.45***,-0.00,-0.00
mom,0.38***,0.33***,0.19**,0.49***,0.38***,0.30***,0.32***,0.56***,0.51***,0.09,0.35***,0.26***,1.00,0.67***,0.48***,0.63***,0.55***,0.32***
tle,0.17*,0.16*,0.07,0.22**,0.17*,0.15*,0.15*,0.27***,0.27***,0.25***,0.26***,0.44***,0.67***,1.00,0.43***,0.80***,0.27***,0.15*
ess,0.18**,0.16*,0.03,0.23***,0.18**,0.16*,0.17*,0.29***,0.30***,0.10,0.21**,0.24***,0.48***,0.43***,1.00,0.36***,0.33***,0.17*
mada,0.28***,0.25***,0.07,0.34***,0.28***,0.25***,0.25***,0.37***,0.36***,0.09,0.29***,0.45***,0.63***,0.80***,0.36***,1.00,0.26***,0.25***
corrint,0.83***,0.45***,0.57***,0.81***,0.83***,0.80***,0.81***,0.68***,0.67***,-0.10,0.10,-0.00,0.55***,0.27***,0.33***,0.26***,1.00,0.80***
fishers,0.95***,0.46***,0.61***,0.90***,0.95***,0.97***,0.97***,0.72***,0.73***,-0.12,0.06,-0.00,0.32***,0.15*,0.17*,0.25***,0.80***,1.00
