pos,n_tokens,n_types,top_index,top_index_pct,top_length,top_length_pct,top_head_dist,top_head_dist_pct,top_relation_type,top_relation_type_pct,top_arity,top_arity_pct
NOUN,33607,6903,6,5.54,4,18.33,-2,18.67,obj,20.22,2,27.81
PUNCT,22123,94,10,4.48,1,96.14,-1,15.46,punct,100.0,0,100.0
VERB,22095,3538,3,8.07,4,27.7,0,30.91,root,30.91,3,27.54
PRON,18255,138,1,18.33,2,26.52,1,37.16,nsubj,55.28,0,89.92
ADP,17557,116,6,6.01,2,64.49,2,34.57,case,92.33,0,99.09
DET,16123,36,1,7.35,3,60.41,1,57.1,det,96.52,0,98.18
ADJ,12648,2156,4,6.19,4,22.45,1,52.92,amod,68.24,0,65.24
AUX,11526,90,2,14.86,2,31.25,1,46.55,aux,51.22,0,98.13
PROPN,11203,3808,1,6.47,5,17.75,1,22.98,compound,20.15,0,46.26
ADV,9913,716,1,8.59,4,36.17,1,39.39,advmod,93.2,0,85.62
CCONJ,6627,21,7,5.93,3,86.27,1,43.4,cc,98.25,0,99.26
PART,4241,7,4,8.32,2,76.85,1,81.66,mark,76.42,0,99.15
SCONJ,3815,62,1,11.66,2,40.58,2,24.25,mark,98.43,0,98.56
NUM,3675,728,1,8.49,3,22.67,1,29.33,nummod,41.06,0,56.35
SYM,651,38,1,9.37,1,87.4,1,37.02,cc,21.04,0,49.92
INTJ,556,66,1,50.54,6,45.14,1,39.57,discourse,95.5,0,94.78
X,301,154,4,9.63,4,17.28,-1,27.57,flat,48.17,0,85.71
