timestamp	feature	model	pid	rss_kb	rss_gb
2026-05-12T09:24:47+02:00	pos	bert	122057	4628	0.00
2026-05-12T09:24:57+02:00	pos	bert	122057	166284	0.16
2026-05-12T09:25:07+02:00	pos	bert	122057	365648	0.35
2026-05-12T09:25:17+02:00	pos	bert	122057	656524	0.63
2026-05-12T09:25:27+02:00	pos	bert	122057	672420	0.64
2026-05-12T09:25:37+02:00	pos	bert	122057	674004	0.64
2026-05-12T09:25:47+02:00	pos	bert	122057	685908	0.65
2026-05-12T09:25:57+02:00	pos	bert	122057	710880	0.68
2026-05-12T09:26:07+02:00	pos	bert	122057	727428	0.69
2026-05-12T09:26:18+02:00	pos	bert	122057	746544	0.71
2026-05-12T09:26:28+02:00	pos	bert	122057	766412	0.73
2026-05-12T09:26:38+02:00	pos	bert	122057	786888	0.75
2026-05-12T09:26:48+02:00	pos	bert	122057	797724	0.76
2026-05-12T09:26:58+02:00	pos	bert	122057	822640	0.78
2026-05-12T09:27:08+02:00	pos	bert	122057	832404	0.79
2026-05-12T09:27:18+02:00	pos	bert	122057	864680	0.82
2026-05-12T09:27:28+02:00	pos	bert	122057	952468	0.91
2026-05-12T09:27:38+02:00	pos	bert	122057	1010232	0.96
2026-05-12T09:27:48+02:00	pos	bert	122057	1375916	1.31
2026-05-12T09:27:58+02:00	pos	bert	122057	1613320	1.54
2026-05-12T09:28:08+02:00	pos	bert	122057	3100444	2.96
2026-05-12T09:28:18+02:00	pos	bert	122057	4143508	3.95
2026-05-12T09:28:28+02:00	pos	bert	122057	4794532	4.57
2026-05-12T09:28:38+02:00	pos	bert	122057	5196076	4.96
2026-05-12T09:28:48+02:00	pos	bert	122057	5456116	5.20
2026-05-12T09:28:58+02:00	pos	bert	122057	5593396	5.33
2026-05-12T09:29:08+02:00	pos	bert	122057	5654116	5.39
2026-05-12T09:29:18+02:00	pos	bert	122057	5674708	5.41
2026-05-12T09:29:28+02:00	pos	bert	122057	5678932	5.42
2026-05-12T09:29:38+02:00	pos	bert	122057	5730520	5.47
2026-05-12T09:29:48+02:00	pos	bert	122057	5751096	5.48
2026-05-12T09:29:58+02:00	pos	bert	122057	5733840	5.47
2026-05-12T09:30:08+02:00	pos	bert	122057	5772932	5.51
2026-05-12T09:30:18+02:00	pos	bert	122057	5738780	5.47
2026-05-12T09:30:28+02:00	pos	bert	122057	5738280	5.47
2026-05-12T09:30:38+02:00	pos	bert	122057	5738320	5.47
2026-05-12T09:30:48+02:00	pos	bert	122057	5738656	5.47
2026-05-12T09:30:58+02:00	pos	bert	122057	5759740	5.49
2026-05-12T09:31:08+02:00	pos	bert	122057	5756628	5.49
2026-05-12T09:31:18+02:00	pos	bert	122057	5735800	5.47
2026-05-12T09:31:28+02:00	pos	bert	122057	5735856	5.47
2026-05-12T09:31:38+02:00	pos	bert	122057	5735892	5.47
2026-05-12T09:31:48+02:00	pos	bert	122057	5735668	5.47
2026-05-12T09:31:58+02:00	pos	bert	122057	5735804	5.47
2026-05-12T09:32:08+02:00	pos	bert	122057	5759900	5.49
2026-05-12T09:32:18+02:00	pos	bert	122057	5730908	5.47
2026-05-12T09:32:28+02:00	pos	bert	122057	5736780	5.47
2026-05-12T09:32:38+02:00	pos	bert	122057	5735844	5.47
2026-05-12T09:32:48+02:00	pos	bert	122057	5759660	5.49
2026-05-12T09:32:58+02:00	pos	bert	122057	5735784	5.47
2026-05-12T09:33:08+02:00	pos	bert	122057	5730936	5.47
2026-05-12T09:33:18+02:00	pos	bert	122057	5703944	5.44
2026-05-12T09:33:28+02:00	pos	bert	122057	5735388	5.47
2026-05-12T09:33:38+02:00	pos	bert	122057	5772068	5.50
2026-05-12T09:33:48+02:00	pos	bert	122057	5759652	5.49
2026-05-12T09:33:58+02:00	pos	bert	122057	5750024	5.48
2026-05-12T09:34:08+02:00	pos	bert	122057	5735812	5.47
2026-05-12T09:34:18+02:00	pos	bert	122057	5769088	5.50
2026-05-12T09:34:28+02:00	pos	bert	122057	5735700	5.47
2026-05-12T09:34:38+02:00	pos	bert	122057	5731056	5.47
2026-05-12T09:34:48+02:00	pos	bert	122057	5770032	5.50
2026-05-12T09:34:58+02:00	pos	bert	122057	5731132	5.47
2026-05-12T09:35:08+02:00	pos	bert	122057	5735416	5.47
2026-05-12T09:35:18+02:00	pos	bert	122057	5735764	5.47
2026-05-12T09:35:28+02:00	pos	bert	122057	5759820	5.49
2026-05-12T09:35:38+02:00	pos	bert	122057	5716088	5.45
2026-05-12T09:35:48+02:00	pos	bert	122057	5735496	5.47
2026-05-12T09:35:58+02:00	pos	bert	122057	5730900	5.47
2026-05-12T09:36:08+02:00	pos	bert	122057	5735716	5.47
2026-05-12T09:36:18+02:00	pos	bert	122057	5784900	5.52
2026-05-12T09:36:28+02:00	pos	bert	122057	5731092	5.47
2026-05-12T09:36:38+02:00	pos	bert	122057	5735456	5.47
2026-05-12T09:36:48+02:00	pos	bert	122057	5730872	5.47
2026-05-12T09:36:58+02:00	pos	bert	122057	5748204	5.48
2026-05-12T09:37:08+02:00	pos	bert	122057	5759744	5.49
2026-05-12T09:37:18+02:00	pos	bert	122057	5769956	5.50
2026-05-12T09:37:28+02:00	pos	bert	122057	5704064	5.44
2026-05-12T09:37:38+02:00	pos	bert	122057	5735372	5.47
2026-05-12T09:37:48+02:00	pos	bert	122057	5787456	5.52
2026-05-12T09:37:58+02:00	pos	bert	122057	5735656	5.47
2026-05-12T09:38:08+02:00	pos	bert	122057	5731092	5.47
2026-05-12T09:38:18+02:00	pos	bert	122057	5759900	5.49
2026-05-12T09:38:28+02:00	pos	bert	122057	5735468	5.47
2026-05-12T09:38:38+02:00	pos	bert	122057	5770092	5.50
2026-05-12T09:38:48+02:00	pos	bert	122057	5735680	5.47
2026-05-12T09:38:58+02:00	pos	bert	122057	5756836	5.49
2026-05-12T09:39:08+02:00	pos	bert	122057	5735852	5.47
2026-05-12T09:39:18+02:00	pos	bert	122057	5730988	5.47
2026-05-12T09:39:28+02:00	pos	bert	122057	5730960	5.47
2026-05-12T09:39:38+02:00	pos	bert	122057	5730968	5.47
2026-05-12T09:39:48+02:00	pos	bert	122057	5731004	5.47
2026-05-12T09:39:58+02:00	pos	bert	122057	5730992	5.47
2026-05-12T09:40:08+02:00	pos	bert	122057	5769812	5.50
2026-05-12T09:40:18+02:00	pos	bert	122057	5759552	5.49
2026-05-12T09:40:28+02:00	pos	bert	122057	5753592	5.49
2026-05-12T09:40:38+02:00	pos	bert	122057	5730908	5.47
2026-05-12T09:40:48+02:00	pos	bert	122057	5748168	5.48
2026-05-12T09:40:58+02:00	pos	bert	122057	5731104	5.47
2026-05-12T09:41:08+02:00	pos	bert	122057	5735392	5.47
2026-05-12T09:41:18+02:00	pos	bert	122057	5748104	5.48
2026-05-12T09:41:28+02:00	pos	bert	122057	5761584	5.49
2026-05-12T09:41:38+02:00	pos	bert	122057	5731084	5.47
2026-05-12T09:41:48+02:00	pos	bert	122057	5731072	5.47
2026-05-12T09:41:58+02:00	pos	bert	122057	5731104	5.47
2026-05-12T09:42:08+02:00	pos	bert	122057	5756964	5.49
2026-05-12T09:42:18+02:00	pos	bert	122057	5735404	5.47
2026-05-12T09:42:28+02:00	pos	bert	122057	5735456	5.47
2026-05-12T09:42:38+02:00	pos	bert	122057	5735816	5.47
2026-05-12T09:42:48+02:00	pos	bert	122057	5735852	5.47
2026-05-12T09:42:58+02:00	pos	bert	122057	5735592	5.47
2026-05-12T09:43:08+02:00	pos	bert	122057	5735400	5.47
2026-05-12T09:43:18+02:00	pos	bert	122057	5735600	5.47
2026-05-12T09:43:28+02:00	pos	bert	122057	5748068	5.48
2026-05-12T09:43:38+02:00	pos	bert	122057	5735664	5.47
2026-05-12T09:43:48+02:00	pos	bert	122057	5735440	5.47
2026-05-12T09:43:58+02:00	pos	bert	122057	5731112	5.47
2026-05-12T09:44:08+02:00	pos	bert	122057	5735388	5.47
2026-05-12T09:44:18+02:00	pos	bert	122057	5750752	5.48
2026-05-12T09:44:28+02:00	pos	bert	122057	5756892	5.49
2026-05-12T09:44:38+02:00	pos	bert	122057	5769860	5.50
2026-05-12T09:44:48+02:00	pos	bert	122057	5735676	5.47
2026-05-12T09:44:58+02:00	pos	bert	122057	5770064	5.50
2026-05-12T09:45:08+02:00	pos	bert	122057	5735628	5.47
2026-05-12T09:45:18+02:00	pos	bert	122057	5735496	5.47
2026-05-12T09:45:28+02:00	pos	bert	122057	5759528	5.49
2026-05-12T09:45:38+02:00	pos	bert	122057	5735892	5.47
2026-05-12T09:45:48+02:00	pos	bert	122057	5735684	5.47
2026-05-12T09:45:58+02:00	pos	bert	122057	5735748	5.47
2026-05-12T09:46:08+02:00	pos	bert	122057	5735780	5.47
2026-05-12T09:46:18+02:00	pos	bert	122057	5735672	5.47
2026-05-12T09:46:28+02:00	pos	bert	122057	5735396	5.47
2026-05-12T09:46:38+02:00	pos	bert	122057	5730952	5.47
2026-05-12T09:46:48+02:00	pos	bert	122057	5703920	5.44
2026-05-12T09:46:58+02:00	pos	bert	122057	5703920	5.44
2026-05-12T09:47:08+02:00	pos	bert	122057	5747476	5.48
2026-05-12T09:47:18+02:00	pos	bert	122057	5735612	5.47
2026-05-12T09:47:28+02:00	pos	bert	122057	5731136	5.47
2026-05-12T09:47:38+02:00	pos	bert	122057	5759640	5.49
2026-05-12T09:47:48+02:00	pos	bert	122057	5748160	5.48
2026-05-12T09:47:58+02:00	pos	bert	122057	5735508	5.47
2026-05-12T09:48:08+02:00	pos	bert	122057	5735544	5.47
2026-05-12T09:48:18+02:00	pos	bert	122057	5735500	5.47
2026-05-12T09:48:28+02:00	pos	bert	122057	5737228	5.47
2026-05-12T09:48:38+02:00	pos	bert	122057	5735180	5.47
2026-05-12T09:48:48+02:00	pos	bert	122057	5737752	5.47
2026-05-12T09:48:58+02:00	pos	bert	122057	5735180	5.47
2026-05-12T09:49:08+02:00	pos	bert	122057	5692712	5.43
2026-05-12T09:49:18+02:00	pos	bert	122057	5737228	5.47
2026-05-12T09:49:28+02:00	pos	bert	122057	5737820	5.47
2026-05-12T09:49:38+02:00	pos	bert	122057	5743964	5.48
2026-05-12T09:49:48+02:00	pos	bert	122057	5707096	5.44
2026-05-12T09:49:58+02:00	pos	bert	122057	5737296	5.47
2026-05-12T09:50:08+02:00	pos	bert	122057	5737752	5.47
2026-05-12T09:50:18+02:00	pos	bert	122057	5735248	5.47
2026-05-12T09:50:28+02:00	pos	bert	122057	5737820	5.47
2026-05-12T09:50:38+02:00	pos	bert	122057	5735180	5.47
2026-05-12T09:50:48+02:00	pos	bert	122057	5737748	5.47
2026-05-12T09:50:58+02:00	pos	bert	122057	5737224	5.47
2026-05-12T09:51:08+02:00	pos	bert	122057	5690400	5.43
2026-05-12T09:51:18+02:00	pos	bert	122057	5690400	5.43
2026-05-12T09:51:28+02:00	pos	bert	122057	5737748	5.47
2026-05-12T09:51:38+02:00	pos	bert	122057	5737292	5.47
2026-05-12T09:51:48+02:00	pos	bert	122057	5699100	5.44
2026-05-12T09:51:58+02:00	pos	bert	122057	5737816	5.47
2026-05-12T09:52:08+02:00	pos	bert	122057	5705564	5.44
2026-05-12T09:52:18+02:00	pos	bert	122057	5699100	5.44
2026-05-12T09:52:28+02:00	pos	bert	122057	5737816	5.47
2026-05-12T09:52:38+02:00	pos	bert	122057	5694756	5.43
2026-05-12T09:52:48+02:00	pos	bert	122057	5737748	5.47
2026-05-12T09:52:58+02:00	pos	bert	122057	5737292	5.47
2026-05-12T09:53:08+02:00	pos	bert	122057	5707148	5.44
2026-05-12T09:53:18+02:00	pos	bert	122057	5737816	5.47
2026-05-12T09:53:28+02:00	pos	bert	122057	5743892	5.48
2026-05-12T09:53:38+02:00	pos	bert	122057	5743892	5.48
2026-05-12T09:53:48+02:00	pos	bert	122057	5743892	5.48
