subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,arity,0,gride,0,2.8127517700195312,2.6578450202941895,2.9766416549682617,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,1,5.241318702697754,4.851550102233887,5.622805118560791,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,2,5.572398662567139,5.036984443664551,6.182727336883545,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,3,7.957760810852051,7.334805488586426,8.871715545654297,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,4,10.598050117492676,9.969804763793945,11.324037551879883,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,5,12.826098442077637,12.17551040649414,13.412035942077637,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,6,14.360918998718262,13.708358764648438,14.851093292236328,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,7,15.582551956176758,14.965600967407227,15.998565673828125,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,8,16.15288543701172,15.56696605682373,16.561777114868164,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,9,16.600500106811523,16.15644645690918,16.94036102294922,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,10,16.839567184448242,16.480056762695312,17.214862823486328,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,11,17.107913970947266,16.798526763916016,17.503408432006836,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,0,gride,12,7.538506507873535,7.435373783111572,7.623858451843262,30000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,gride,0,21.073076248168945,18.49763298034668,22.5945987701416,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,gride,1,14.598627090454102,13.182943344116211,15.775286674499512,19369,last,en_ewt-ud-train_sentences.csv
raw,gpt2,arity,1,gride,2,12.745322227478027,11.342879295349121,13.873085975646973,19369,last,en_ewt-ud-train_sentences.csv
