subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,head_dist,-6,pca99,0,650.6400146484375,649.2249755859375,652.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,1,575.3599853515625,574.0,576.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,2,592.3800048828125,591.2249755859375,593.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,3,629.5599975585938,629.0,630.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,4,652.5599975585938,652.0,653.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,5,661.0,660.0,662.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,6,668.3200073242188,668.0,669.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,7,674.1599731445312,674.0,675.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,8,681.8200073242188,681.0,682.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,9,685.3200073242188,685.0,686.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,10,688.3200073242188,688.0,689.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,11,687.780029296875,687.0,688.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,pca99,12,104.80000305175781,97.44999694824219,111.0,19585,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,pca99,0,630.260009765625,627.2249755859375,633.0,4545,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,pca99,1,558.4400024414062,555.2249755859375,560.7750244140625,4545,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,pca99,2,571.780029296875,569.0,574.0,4545,last,en_ewt-ud-train_sentences.csv
