subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,length,1,lpca99,0,39.04999923706055,36.474998474121094,41.0,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,1,190.89999389648438,186.89999389648438,193.52499389648438,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,2,266.79998779296875,263.375,269.5249938964844,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,3,408.95001220703125,405.95001220703125,411.0,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,4,507.75,506.0,510.04998779296875,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,5,556.0499877929688,554.0,558.5250244140625,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,6,586.5,585.0,588.5250244140625,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,7,603.2999877929688,602.0,605.0499877929688,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,8,612.8499755859375,612.0,614.5250244140625,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,9,616.4000244140625,615.0,618.0499877929688,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,10,623.5,622.4749755859375,625.0499877929688,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,11,627.9000244140625,627.0,629.5250244140625,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,1,lpca99,12,85.25,77.94999694824219,91.05000305175781,27854,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,0,104.3499984741211,96.0,111.0,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,1,250.5,244.47500610351562,256.5249938964844,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,2,300.1499938964844,295.0,305.04998779296875,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,3,471.70001220703125,469.0,475.0,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,4,577.2999877929688,575.4749755859375,579.5250244140625,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,5,617.3499755859375,615.4749755859375,619.0,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,6,639.1500244140625,638.0,640.5250244140625,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,7,651.5999755859375,650.4749755859375,653.0,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,8,659.25,658.0,660.5250244140625,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,9,659.8499755859375,658.4749755859375,661.0,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,10,661.4500122070312,660.4749755859375,662.5250244140625,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,11,661.5999755859375,660.4749755859375,663.0,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,2,lpca99,12,177.85000610351562,169.9499969482422,186.52499389648438,27939,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,0,247.85000610351562,235.3249969482422,261.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,1,348.29998779296875,340.8999938964844,356.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,2,386.1499938964844,379.8999938964844,393.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,3,507.8999938964844,504.42498779296875,511.5249938964844,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,4,589.0,587.4749755859375,591.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,5,622.7999877929688,621.4749755859375,624.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,6,643.4000244140625,642.4749755859375,644.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,7,656.6500244140625,656.0,657.5250244140625,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,8,664.5999755859375,664.0,665.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,9,666.9000244140625,666.0,668.0,33973,last,en_ewt-ud-train_sentences.csv
raw,gpt2,length,3,lpca99,10,670.0,669.0,671.0,33973,last,en_ewt-ud-train_sentences.csv
