subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,relation_type,punct,gride,0,0.348859965801239,0.29084521532058716,0.4418069124221802,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,1,7.1424455642700195,6.830112934112549,7.451048374176025,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,2,8.287858963012695,7.937766075134277,8.585573196411133,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,3,9.806230545043945,9.427899360656738,10.15786075592041,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,4,10.98122501373291,10.556697845458984,11.441068649291992,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,5,12.457560539245605,11.96705150604248,12.956552505493164,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,6,12.306066513061523,11.731802940368652,12.835830688476562,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,7,12.389140129089355,11.828001022338867,12.812321662902832,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,8,12.020268440246582,11.520833015441895,12.381237030029297,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,9,11.987051963806152,11.536192893981934,12.232389450073242,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,10,12.5709810256958,12.099946022033691,12.807760238647461,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,11,13.727375984191895,13.256333351135254,14.073927879333496,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,gride,12,6.731788635253906,6.620049953460693,6.835573196411133,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,0,0.3931688070297241,0.34985411167144775,0.4602552652359009,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,1,6.8717780113220215,6.461130142211914,7.271149635314941,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,2,7.703133583068848,7.109243392944336,8.175862312316895,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,3,10.308326721191406,9.62275218963623,10.884302139282227,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,4,11.925491333007812,11.226836204528809,12.503436088562012,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,5,13.228985786437988,12.582399368286133,13.654754638671875,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,6,13.656755447387695,12.937507629394531,14.101571083068848,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,7,14.404765129089355,13.585232734680176,14.83949089050293,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,8,15.1303129196167,14.309137344360352,15.595488548278809,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,9,15.95433235168457,15.214345932006836,16.477148056030273,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,10,16.457502365112305,15.893744468688965,16.88493537902832,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,11,17.036510467529297,16.513511657714844,17.47168731689453,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,gride,12,9.784708023071289,9.645089149475098,9.943531036376953,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,0,0.5853503346443176,0.4772856831550598,0.7316033840179443,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,1,7.2453765869140625,6.93232536315918,7.661178112030029,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,2,7.629489898681641,7.204993724822998,8.1505126953125,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,3,8.342866897583008,8.064133644104004,8.798564910888672,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,4,9.161439895629883,8.86627197265625,9.512393951416016,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,5,10.109888076782227,9.850961685180664,10.369751930236816,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,6,10.939208984375,10.672822952270508,11.258418083190918,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,7,12.455650329589844,12.233438491821289,12.725873947143555,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,8,13.207763671875,13.023691177368164,13.500463485717773,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,9,14.244555473327637,13.912559509277344,14.545586585998535,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,10,15.009655952453613,14.5929536819458,15.457242965698242,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,11,15.439735412597656,14.94029426574707,15.911637306213379,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,gride,12,8.886570930480957,8.735600471496582,9.014784812927246,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,0,1.7267347574234009,0.9052683115005493,2.9489357471466064,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,1,6.107721328735352,5.644838809967041,6.57645845413208,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,2,7.147761344909668,6.521883964538574,7.766793251037598,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,3,8.345075607299805,7.739808559417725,8.989198684692383,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,4,9.328962326049805,8.763705253601074,9.823343276977539,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,5,10.467247009277344,9.854007720947266,10.969517707824707,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,6,11.252644538879395,10.674978256225586,11.756121635437012,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,7,12.457204818725586,11.660762786865234,13.047130584716797,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,8,12.814471244812012,11.88497543334961,13.514598846435547,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,9,13.120733261108398,12.144397735595703,13.724442481994629,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,10,13.34752368927002,12.299467086791992,14.063541412353516,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,11,13.607995986938477,12.507220268249512,14.255441665649414,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,gride,12,7.4550909996032715,7.232481002807617,7.579926013946533,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,0,7.38302755355835,6.892935752868652,8.12480640411377,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,1,8.467641830444336,7.7161054611206055,9.43420124053955,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,2,8.73432731628418,8.019493103027344,9.69647216796875,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,3,10.817228317260742,10.126059532165527,11.627130508422852,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,4,12.8589506149292,12.104863166809082,13.861067771911621,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,5,14.494336128234863,13.545652389526367,15.546344757080078,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,6,15.392168045043945,14.53398609161377,16.326980590820312,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,7,16.126468658447266,15.293185234069824,17.064685821533203,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,8,16.849464416503906,16.033554077148438,17.773845672607422,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,9,18.07012176513672,17.414344787597656,18.998350143432617,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,10,19.26511001586914,18.59430694580078,20.140426635742188,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,11,20.437475204467773,19.65146827697754,21.598100662231445,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,gride,12,9.667577743530273,9.520808219909668,9.803375244140625,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,0,2.363598346710205,2.2764697074890137,2.458900213241577,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,1,3.0344936847686768,2.8733623027801514,3.2015209197998047,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,2,3.311727523803711,3.095608711242676,3.5498275756835938,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,3,4.438037872314453,4.12806510925293,4.784540176391602,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,4,5.728365898132324,5.423646450042725,6.11905574798584,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,5,6.913996696472168,6.619940757751465,7.359724998474121,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,6,7.6114959716796875,7.317739963531494,8.016961097717285,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,7,8.55591869354248,8.182085037231445,8.972338676452637,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,8,9.582063674926758,9.179130554199219,9.950591087341309,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,9,10.813199996948242,10.391819953918457,11.226046562194824,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,10,12.111101150512695,11.747509956359863,12.480448722839355,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,11,13.114522933959961,12.788575172424316,13.451601028442383,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,advmod,gride,12,7.882245063781738,7.747048377990723,8.02038860321045,9485,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,0,6.743703365325928,6.079389572143555,7.407822608947754,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,1,5.400173664093018,4.837862491607666,6.010752201080322,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,2,5.2921671867370605,4.722102642059326,5.920351982116699,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,3,6.559476375579834,5.8436713218688965,7.143558502197266,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,4,8.091780662536621,7.258115291595459,8.727555274963379,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,5,9.574057579040527,8.722219467163086,10.305859565734863,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,6,10.852263450622559,10.050373077392578,11.64645767211914,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,7,11.813821792602539,10.997611999511719,12.744771957397461,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,8,12.703415870666504,11.87939453125,13.796895980834961,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,9,14.072334289550781,13.181922912597656,15.280245780944824,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,10,15.403633117675781,14.730944633483887,16.57827377319336,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,11,17.163509368896484,16.452653884887695,18.446998596191406,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,amod,gride,12,10.862990379333496,10.7450532913208,10.957117080688477,9076,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,root,gride,0,11.112005233764648,10.198297500610352,12.502599716186523,8915,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,root,gride,1,5.683348655700684,5.293332576751709,6.058818817138672,8915,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,root,gride,2,5.57950496673584,5.166130542755127,6.019680023193359,8915,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,root,gride,3,6.589498043060303,6.138243675231934,6.955591201782227,8915,last,en_ewt-ud-train_sentences.csv
