subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,relation_type,punct,iso,0,0.004431729204952717,0.004375316668301821,0.0044784629717469215,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,1,0.006109816022217274,0.00603404501453042,0.006202049553394318,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,2,0.00611320324242115,0.006032410077750683,0.006192125845700502,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,3,0.006918158382177353,0.0068316832184791565,0.006999078672379255,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,4,0.007456609513610601,0.007363195065408945,0.0075457231141626835,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,5,0.008067256771028042,0.00795453879982233,0.008156102150678635,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,6,0.008573310449719429,0.008455760776996613,0.00866873562335968,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,7,0.008608552627265453,0.00851057842373848,0.008700380101799965,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,8,0.008687968365848064,0.008601228706538677,0.0087952371686697,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,9,0.008978337980806828,0.008881213143467903,0.009089157916605473,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,10,0.009057554416358471,0.008952249772846699,0.009159661829471588,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,11,0.010505549609661102,0.010374551638960838,0.010589833371341228,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,12,0.0016702457796782255,0.0016499652992933989,0.001683473470620811,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,0,0.004013802856206894,0.003972426522523165,0.004059372469782829,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,1,0.008682532235980034,0.008550227619707584,0.008809749968349934,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,2,0.012224500067532063,0.01198242325335741,0.012552358210086823,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,3,0.014476805925369263,0.014183598570525646,0.014790220186114311,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,4,0.018444420769810677,0.018101153895258904,0.018832853063941002,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,5,0.021848974749445915,0.021443214267492294,0.022280780598521233,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,6,0.02527526766061783,0.024738891050219536,0.025713497772812843,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,7,0.02679050900042057,0.02615884691476822,0.027223888784646988,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,8,0.02761930227279663,0.027043277397751808,0.02807590737938881,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,9,0.026103366166353226,0.025745714083313942,0.026414571329951286,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,10,0.028216226026415825,0.027842964977025986,0.02853546291589737,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,11,0.014976694248616695,0.014814223162829876,0.015258098021149635,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,12,0.0018737600184977055,0.0018393592908978462,0.0019191288156434894,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,0,0.0028982190415263176,0.0028686532750725746,0.00292028090916574,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,1,0.005402252543717623,0.005304107442498207,0.005501769483089447,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,2,0.004975208546966314,0.004888575989753008,0.0050415475852787495,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,3,0.0059289513155817986,0.005839279852807522,0.006003685761243105,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,4,0.007479274645447731,0.0073692286387085915,0.007579314522445202,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,5,0.009225883521139622,0.009092995896935463,0.009341800585389137,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,6,0.010949008166790009,0.01078709401190281,0.011095698922872543,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,7,0.011854957789182663,0.011681841686367989,0.011987676844000816,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,8,0.012674721889197826,0.012503409758210182,0.012801590375602245,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,9,0.01439420972019434,0.014190559275448322,0.014594251289963722,14417,last,en_ewt-ud-train_sentences.csv
