subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,pos,ADJ,iso,0,0.0082172229886055,0.008102666586637497,0.008299784734845161,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,1,0.01806429773569107,0.017762232571840286,0.018385570496320724,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,2,0.024336235597729683,0.02387111634016037,0.02485460788011551,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,3,0.024454349651932716,0.024056321009993553,0.025007158517837524,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,4,0.027157120406627655,0.026640653610229492,0.027622316032648087,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,5,0.027997849509119987,0.027425572276115417,0.02841402217745781,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,6,0.027321312576532364,0.02676771767437458,0.027789965271949768,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,7,0.026947811245918274,0.026418615132570267,0.027433643117547035,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,8,0.026220273226499557,0.02563468925654888,0.02672804519534111,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,9,0.025530969724059105,0.024892067536711693,0.026161983609199524,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,10,0.02346225269138813,0.022865254431962967,0.02415977418422699,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,11,0.017815669998526573,0.017472706735134125,0.018204940482974052,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADJ,iso,12,0.001821412704885006,0.0017897540237754583,0.001848762040026486,12350,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,0,0.00403085071593523,0.004004728049039841,0.004061163868755102,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,1,0.008694390766322613,0.008580791763961315,0.008811432868242264,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,2,0.012706317938864231,0.0124173229560256,0.013029301539063454,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,3,0.015182184055447578,0.014863496646285057,0.015516117215156555,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,4,0.019478127360343933,0.019093966111540794,0.01983722299337387,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,5,0.023086711764335632,0.022675562649965286,0.023459769785404205,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,6,0.02653299830853939,0.02610631100833416,0.02693740278482437,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,7,0.027897832915186882,0.027371155098080635,0.028419947251677513,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,8,0.02875870279967785,0.02821861393749714,0.029229212552309036,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,9,0.027062371373176575,0.026589805260300636,0.027500733733177185,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,10,0.02880067750811577,0.028304895386099815,0.029283318668603897,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,11,0.014797782525420189,0.014498379081487656,0.015086131170392036,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADP,iso,12,0.0018896592082455754,0.001866967766545713,0.0019111480796709657,17040,last,en_ewt-ud-train_sentences.csv
raw,gpt2,pos,ADV,iso,0,0.0066079129464924335,0.006532406434416771,0.006717170123010874,9061,last,en_ewt-ud-train_sentences.csv
