subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,bert-base-uncased,arity,0,iso,0,0.09656966477632523,0.08496919274330139,0.10532843321561813,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,1,0.09610151499509811,0.08513278514146805,0.10558302700519562,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,2,0.09752433747053146,0.08732849359512329,0.10696297883987427,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,3,0.09675990045070648,0.08709321916103363,0.10519810765981674,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,4,0.09202250838279724,0.08344316482543945,0.09962675720453262,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,5,0.09262186288833618,0.08519170433282852,0.09925734996795654,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,6,0.09145162254571915,0.0843302384018898,0.09767287969589233,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,7,0.09298406541347504,0.08732140809297562,0.09882893413305283,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,8,0.09690260142087936,0.09074621647596359,0.10279940068721771,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,9,0.10079822689294815,0.0942317545413971,0.10794466733932495,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,10,0.10127905011177063,0.0946388840675354,0.10842058062553406,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,11,0.09724143892526627,0.09013419598340988,0.10567448288202286,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,0,iso,12,0.10159878432750702,0.09274587035179138,0.11004237085580826,822,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,0,0.15688148140907288,0.15090470016002655,0.16518880426883698,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,1,0.15338949859142303,0.14678090810775757,0.1612304449081421,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,2,0.1510147601366043,0.14476580917835236,0.15843640267848969,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,3,0.15369491279125214,0.14716511964797974,0.16047273576259613,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,4,0.1509907841682434,0.1454065889120102,0.15700003504753113,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,5,0.14519348740577698,0.13928529620170593,0.15148594975471497,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,6,0.14588887989521027,0.14003971219062805,0.1509905904531479,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,7,0.1505899727344513,0.1449826955795288,0.15559105575084686,2011,first,en_ewt-ud-train_sentences.csv
raw,bert-base-uncased,arity,1,iso,8,0.15026319026947021,0.14480939507484436,0.15431517362594604,2011,first,en_ewt-ud-train_sentences.csv
