subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,head_dist,-6,iso,0,0.07561120390892029,0.07265423983335495,0.07823348790407181,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,1,0.13889925181865692,0.135830819606781,0.14189453423023224,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,2,0.1542636752128601,0.15110595524311066,0.1570182889699936,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,3,0.1605493426322937,0.15729691088199615,0.16341812908649445,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,4,0.16665367782115936,0.16351169347763062,0.16994215548038483,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,5,0.16928257048130035,0.16518470644950867,0.17241184413433075,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,6,0.17164263129234314,0.16757644712924957,0.1752241551876068,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,7,0.16405628621578217,0.16038203239440918,0.16679176688194275,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,8,0.15550601482391357,0.1510065197944641,0.1579478681087494,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,9,0.15547478199005127,0.15179824829101562,0.1580100804567337,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,10,0.15411582589149475,0.15153193473815918,0.1566622108221054,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,11,0.13215823471546173,0.12930862605571747,0.13588136434555054,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-6,iso,12,0.0004697772383224219,0.00040754766087047756,0.0005386100383475423,4000,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,0,0.07064542174339294,0.06682894378900528,0.0755036249756813,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,1,0.12571169435977936,0.12118036299943924,0.13016095757484436,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,2,0.13823169469833374,0.13391146063804626,0.1417674422264099,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,3,0.13981963694095612,0.13508974015712738,0.14255157113075256,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,4,0.14455793797969818,0.1408536732196808,0.14767734706401825,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,5,0.14470219612121582,0.1408764123916626,0.1486826092004776,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,6,0.14963917434215546,0.1447995901107788,0.1533421128988266,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,7,0.14532820880413055,0.14095309376716614,0.14923095703125,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,8,0.1449059695005417,0.14070606231689453,0.14836612343788147,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,9,0.14875927567481995,0.14436909556388855,0.15191903710365295,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,10,0.1484474241733551,0.14495646953582764,0.15181215107440948,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,11,0.1291906237602234,0.12534786760807037,0.1319163590669632,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-5,iso,12,0.000787072058301419,0.0006338982493616641,0.0009137889137491584,1882,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,0,0.06339716911315918,0.060784533619880676,0.0656655803322792,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,1,0.12911878526210785,0.12553298473358154,0.13164670765399933,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,2,0.1496032476425171,0.14627966284751892,0.15210318565368652,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,3,0.152429461479187,0.1496950387954712,0.15510578453540802,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,4,0.159265398979187,0.15513093769550323,0.16274325549602509,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,5,0.1613597720861435,0.1567712277173996,0.16473007202148438,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,6,0.1664341688156128,0.16226181387901306,0.1694093495607376,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,7,0.1609843373298645,0.15698732435703278,0.16426272690296173,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,8,0.15873296558856964,0.15479886531829834,0.1618325561285019,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,9,0.161148339509964,0.15786558389663696,0.1637677401304245,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,10,0.15867504477500916,0.15636423230171204,0.16099832952022552,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,11,0.13465502858161926,0.13231468200683594,0.13685502111911774,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-4,iso,12,0.0008326991810463369,0.0006797605892643332,0.0009804520523175597,3138,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,iso,0,0.058559250086545944,0.056418873369693756,0.06063023582100868,5790,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,iso,1,0.12573111057281494,0.12313520163297653,0.12842072546482086,5790,last,en_ewt-ud-train_sentences.csv
