subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,relation_type,punct,iso,0,0.007598383817821741,0.007495468016713858,0.007709814235568047,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,1,0.011388852261006832,0.01121996808797121,0.011614784598350525,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,2,0.012575498782098293,0.012394439429044724,0.012820042669773102,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,3,0.016280803829431534,0.01608809269964695,0.016544582322239876,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,4,0.020313765853643417,0.020067313686013222,0.020633291453123093,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,5,0.02437673509120941,0.02410510741174221,0.02470400556921959,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,6,0.028045926243066788,0.027695680037140846,0.028388891369104385,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,7,0.030814670026302338,0.030473560094833374,0.0311658326536417,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,8,0.032975584268569946,0.03262176364660263,0.03335452824831009,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,9,0.03556803986430168,0.03521342575550079,0.03601257503032684,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,10,0.037917520850896835,0.03750305995345116,0.03842369467020035,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,11,0.04066675528883934,0.04016418009996414,0.04102020338177681,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,punct,iso,12,0.0008062337874434888,0.0007590555469505489,0.000837145431432873,21787,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,0,0.008358029648661613,0.0081965746358037,0.008540008217096329,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,1,0.022065026685595512,0.021638041362166405,0.022492162883281708,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,2,0.027865953743457794,0.027369685471057892,0.028361491858959198,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,3,0.042229894548654556,0.041591182351112366,0.04293132945895195,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,4,0.06697546690702438,0.06619425863027573,0.06784691661596298,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,5,0.08779044449329376,0.08681754767894745,0.0888456478714943,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,6,0.1050630509853363,0.10396192967891693,0.10603229701519012,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,7,0.11522330343723297,0.1140473484992981,0.11613421142101288,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,8,0.12183968722820282,0.12057062238454819,0.12284508347511292,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,9,0.12197472900152206,0.12061712145805359,0.12306894361972809,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,10,0.12182401865720749,0.12071728706359863,0.12300390750169754,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,11,0.08231765776872635,0.08129243552684784,0.08398338407278061,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,case,iso,12,0.0012874766252934933,0.0012062869500368834,0.0013953399611636996,16041,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,0,0.0040321010164916515,0.003948086407035589,0.0040945028886199,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,1,0.008782695047557354,0.008590113371610641,0.008934099227190018,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,2,0.009923150762915611,0.009727958589792252,0.010101947002112865,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,3,0.015306435525417328,0.0150528559461236,0.015526569448411465,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,4,0.024935569614171982,0.024578863754868507,0.025257864966988564,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,5,0.03587609902024269,0.03541823849081993,0.03626387193799019,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,6,0.04706331342458725,0.046516578644514084,0.047594983130693436,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,7,0.05428995564579964,0.05368253216147423,0.054844506084918976,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,8,0.058944281190633774,0.05836496129631996,0.05951208993792534,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,9,0.06894820928573608,0.06815396249294281,0.06961329281330109,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,10,0.07609021663665771,0.07523966580629349,0.07690943777561188,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,11,0.05466609075665474,0.05384020134806633,0.055689968168735504,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,det,iso,12,0.0025123280938714743,0.002453718800097704,0.0025677233934402466,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,0,0.01939995586872101,0.018937891349196434,0.019884640350937843,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,1,0.039931636303663254,0.039317578077316284,0.04065048694610596,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,2,0.0457606315612793,0.045029401779174805,0.04647508263587952,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,3,0.05404910445213318,0.053280334919691086,0.054838333278894424,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,4,0.06351156532764435,0.06271510571241379,0.06437747180461884,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,5,0.06991035491228104,0.06909400224685669,0.07058729976415634,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,6,0.07497920840978622,0.07405149191617966,0.07579029351472855,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,7,0.08122038096189499,0.08016140013933182,0.08230028301477432,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,8,0.08123981207609177,0.08009257167577744,0.08235393464565277,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,9,0.08188226073980331,0.0807328149676323,0.08301043510437012,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,10,0.08281633257865906,0.08181323111057281,0.08391086012125015,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,11,0.04459261894226074,0.04380651190876961,0.045531295239925385,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,12,0.0008048817981034517,0.0007838958990760148,0.0008280838956125081,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,0,0.04583574831485748,0.04476721212267876,0.04704724997282028,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,1,0.09091167151927948,0.0892859473824501,0.093072310090065,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,2,0.1103023886680603,0.10805720835924149,0.11273175477981567,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,3,0.12252404540777206,0.12032295763492584,0.12504184246063232,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,4,0.13612352311611176,0.13376672565937042,0.13880647718906403,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,5,0.14449863135814667,0.1423039436340332,0.14774376153945923,9661,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,obj,iso,6,0.1496746689081192,0.1477849781513214,0.15262314677238464,9661,last,en_ewt-ud-train_sentences.csv
