subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,arity,0,gride,0,13.939070701599121,12.042339324951172,16.704784393310547,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,1,15.287190437316895,13.753836631774902,16.854801177978516,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,2,16.264476776123047,14.82390022277832,17.365062713623047,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,3,17.153329849243164,15.986655235290527,18.014646530151367,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,4,18.05943489074707,17.021574020385742,18.69793701171875,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,5,18.97455596923828,18.024452209472656,19.4764347076416,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,6,19.750516891479492,18.889673233032227,20.164901733398438,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,7,20.64304542541504,20.045223236083984,20.994325637817383,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,8,21.303165435791016,20.742877960205078,21.601146697998047,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,9,21.982715606689453,21.487489700317383,22.21514129638672,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,10,22.696630477905273,22.32729148864746,22.882919311523438,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,11,23.16611671447754,22.825115203857422,23.36960792541504,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,0,gride,12,23.217941284179688,22.71697425842285,23.53717803955078,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,0,13.191070556640625,11.811744689941406,15.078763008117676,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,1,14.447956085205078,13.533528327941895,15.860858917236328,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,2,15.244056701660156,14.593352317810059,16.587181091308594,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,3,16.176034927368164,15.597309112548828,17.38591957092285,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,4,16.93559455871582,16.48973846435547,17.766170501708984,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,5,17.853422164916992,17.48433494567871,18.622900009155273,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,6,18.57086944580078,18.230180740356445,19.19133186340332,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,7,19.45743179321289,19.122650146484375,20.034147262573242,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,arity,1,gride,8,19.9898624420166,19.629621505737305,20.52476692199707,4534,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
