subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,0,4.636112213134766,3.964487314224243,5.603947162628174,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,1,4.769006729125977,4.100138187408447,5.704838275909424,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,2,4.842278957366943,4.189188003540039,5.784854412078857,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,3,4.9998016357421875,4.328272819519043,5.953296184539795,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,4,5.123013496398926,4.462134838104248,6.04337215423584,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,5,5.263213157653809,4.600128650665283,6.176218032836914,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,6,5.3460588455200195,4.697704315185547,6.243968963623047,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,7,5.459505081176758,4.792313575744629,6.37591552734375,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,8,5.638769626617432,4.96470832824707,6.586490631103516,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,9,5.814146518707275,5.1345672607421875,6.761562347412109,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,10,6.0731000900268555,5.395174503326416,6.997320652008057,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,11,6.2015380859375,5.494412899017334,7.126584053039551,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-6,gride,12,6.347650527954102,5.642401218414307,7.262495517730713,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-5,gride,0,6.461228370666504,5.423764705657959,8.28557300567627,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-5,gride,1,6.588137626647949,5.569357395172119,8.338238716125488,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,head_dist,-5,gride,2,6.649773597717285,5.670686721801758,8.3723726272583,1171,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
