subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,head_dist,-6,iso,0,0.11724913120269775,0.11103565245866776,0.12200053036212921,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,1,0.134070485830307,0.12873511016368866,0.13795576989650726,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,2,0.13953131437301636,0.1352139711380005,0.1431189924478531,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,3,0.14235177636146545,0.1386967897415161,0.14620967209339142,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,4,0.14410191774368286,0.14071770012378693,0.14749768376350403,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,5,0.14596445858478546,0.1426452100276947,0.1485007256269455,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,6,0.1448078602552414,0.14170756936073303,0.14723828434944153,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,7,0.1431010514497757,0.14020675420761108,0.14559406042099,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,8,0.14001508057117462,0.1373632252216339,0.1423547863960266,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,9,0.13944736123085022,0.13664492964744568,0.14171746373176575,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,10,0.1384119987487793,0.13590267300605774,0.14068534970283508,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,11,0.13745605945587158,0.13497118651866913,0.13988260924816132,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-6,iso,12,0.13742338120937347,0.13471801578998566,0.1400381326675415,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,0,0.09441914409399033,0.08825302124023438,0.09919285774230957,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,1,0.11799602210521698,0.11255773156881332,0.12272954732179642,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,2,0.12587858736515045,0.12130970507860184,0.13036467134952545,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,3,0.1300906240940094,0.1261628419160843,0.13401149213314056,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,4,0.13279639184474945,0.1281960904598236,0.13706645369529724,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,5,0.13506555557250977,0.13084164261817932,0.13930776715278625,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,6,0.1348775327205658,0.1305929571390152,0.13944657146930695,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,7,0.13345655798912048,0.12925012409687042,0.13771703839302063,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,8,0.1300240010023117,0.12571288645267487,0.13383255898952484,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,9,0.1294190138578415,0.12530888617038727,0.13292549550533295,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,10,0.12880322337150574,0.12466148287057877,0.1321231871843338,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,11,0.12823374569416046,0.12385781854391098,0.13169997930526733,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-5,iso,12,0.1280415803194046,0.12393190711736679,0.13144871592521667,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,0,0.10329551994800568,0.09952788054943085,0.1077042892575264,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,1,0.12519051134586334,0.1218726634979248,0.12942129373550415,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,2,0.1298823207616806,0.12708346545696259,0.13296684622764587,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,3,0.1313486397266388,0.12886658310890198,0.13418221473693848,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,4,0.1334107220172882,0.13083985447883606,0.13637569546699524,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,5,0.13467161357402802,0.13244667649269104,0.13753068447113037,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,6,0.13339337706565857,0.1313902735710144,0.13611114025115967,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,7,0.13243260979652405,0.13005457818508148,0.13521124422550201,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,8,0.12893220782279968,0.1266249716281891,0.1314719021320343,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,9,0.1269957721233368,0.12441025674343109,0.1297152191400528,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,10,0.12544378638267517,0.122595876455307,0.12824846804141998,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,11,0.12437400966882706,0.12152204662561417,0.12715908885002136,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-4,iso,12,0.12398090213537216,0.12122220546007156,0.12696078419685364,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,0,0.10912995040416718,0.10564865171909332,0.11378675699234009,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,1,0.1299811750650406,0.12679502367973328,0.13410012423992157,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,2,0.13489419221878052,0.13151739537715912,0.1386222243309021,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,3,0.13461831212043762,0.131381094455719,0.13817812502384186,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,4,0.13546688854694366,0.13200516998767853,0.13866519927978516,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,5,0.1368550956249237,0.13370348513126373,0.13993993401527405,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,6,0.13599644601345062,0.13299518823623657,0.13912668824195862,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,7,0.13430699706077576,0.13146865367889404,0.1374989151954651,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,8,0.13143160939216614,0.1287214607000351,0.13449552655220032,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,head_dist,-3,iso,9,0.13039663434028625,0.12791807949543,0.13355816900730133,1171,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
