subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased-untrained,index,1,iso,0,0.4740518629550934,0.46232813596725464,0.4850958585739136,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,1,0.4295472204685211,0.4192022979259491,0.4386424422264099,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,2,0.39306655526161194,0.38452422618865967,0.4009148180484772,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,3,0.3631365895271301,0.35592854022979736,0.36984357237815857,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,4,0.3370748460292816,0.3307802677154541,0.3427915573120117,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,5,0.3161849081516266,0.31054672598838806,0.3209521472454071,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,6,0.29734310507774353,0.29216042160987854,0.3011332154273987,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,7,0.2794105112552643,0.2745703458786011,0.28297531604766846,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,8,0.2650530934333801,0.26061978936195374,0.2680058181285858,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,9,0.2507408559322357,0.24706248939037323,0.25380945205688477,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,10,0.23725207149982452,0.23393993079662323,0.2397780418395996,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,11,0.22635333240032196,0.22331875562667847,0.22892703115940094,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,1,iso,12,0.21450749039649963,0.2117217779159546,0.21680432558059692,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,0,0.13343235850334167,0.10866453498601913,0.16608592867851257,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,1,0.1276882141828537,0.10427733510732651,0.15821020305156708,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,2,0.12687957286834717,0.10511436313390732,0.15574239194393158,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,3,0.12785670161247253,0.10666576772928238,0.15627555549144745,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,4,0.1279669851064682,0.10766559839248657,0.15488795936107635,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,5,0.1317249834537506,0.11203562468290329,0.1577208936214447,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,6,0.13061490654945374,0.1117042675614357,0.15510210394859314,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,7,0.12929648160934448,0.11069425940513611,0.15234851837158203,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,8,0.1310596764087677,0.1129114180803299,0.1532055139541626,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,index,2,iso,9,0.1340770721435547,0.11657865345478058,0.1551292985677719,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
