subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,index,1,gride,0,79.00474548339844,75.26118469238281,83.38737487792969,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,1,41.20513153076172,38.171226501464844,43.729515075683594,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,2,37.79452896118164,34.24436950683594,40.21599197387695,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,3,36.195804595947266,33.970001220703125,37.830421447753906,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,4,35.755645751953125,34.26158905029297,36.93989562988281,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,5,35.06346893310547,33.91591262817383,35.95673370361328,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,6,34.404537200927734,33.24423599243164,35.197914123535156,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,7,33.916748046875,33.031314849853516,34.7873649597168,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,8,33.951744079589844,33.2124137878418,34.48023223876953,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,9,33.875999450683594,33.00309753417969,34.47640609741211,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,10,33.569374084472656,32.501747131347656,34.31625747680664,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,11,33.616607666015625,32.55293655395508,34.273414611816406,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,gride,12,33.64205551147461,32.47186279296875,34.21834945678711,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,0,78.53005981445312,74.66226959228516,80.51106262207031,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,1,28.832408905029297,27.013633728027344,31.00698471069336,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,2,23.651567459106445,22.257036209106445,26.508960723876953,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,3,21.67767906188965,20.314552307128906,24.22722625732422,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,4,20.596582412719727,19.29060173034668,22.72001075744629,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,5,19.926000595092773,18.67330551147461,22.004356384277344,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,6,19.10802459716797,17.81761360168457,21.124536514282227,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,7,18.59249496459961,17.38876724243164,20.7541446685791,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,8,18.112285614013672,16.94270133972168,20.4754581451416,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,9,17.53549575805664,16.456192016601562,19.83370590209961,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,10,17.180227279663086,16.00301742553711,19.45503044128418,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,gride,11,16.898399353027344,15.690890312194824,19.231613159179688,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
