subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,index,1,iso,0,0.016862772405147552,0.015721244737505913,0.01814202219247818,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,1,0.04879023879766464,0.04619935154914856,0.0522143580019474,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,2,0.06267912685871124,0.059653233736753464,0.06646199524402618,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,3,0.07475125789642334,0.07160782814025879,0.07849040627479553,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,4,0.08218731731176376,0.07910361886024475,0.08589616417884827,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,5,0.08626970648765564,0.08331920951604843,0.08970407396554947,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,6,0.09051414579153061,0.08774004131555557,0.09343328326940536,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,7,0.09533627331256866,0.09255475550889969,0.09819129854440689,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,8,0.09770731627941132,0.09493450820446014,0.1003987193107605,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,9,0.09965600818395615,0.09675077348947525,0.10206985473632812,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,10,0.10135741531848907,0.09838604182004929,0.10391000658273697,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,11,0.10120433568954468,0.09828660637140274,0.10361484438180923,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,1,iso,12,0.10210691392421722,0.09935266524553299,0.10430693626403809,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,0,0.027714645490050316,0.025576582178473473,0.029261671006679535,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,1,0.07817787677049637,0.07421699166297913,0.08108722418546677,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,2,0.0796218067407608,0.07704352587461472,0.08260448276996613,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,3,0.0768837109208107,0.0743032693862915,0.07983793318271637,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,4,0.07691451907157898,0.07411368936300278,0.08073680102825165,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,5,0.07375966757535934,0.07069994509220123,0.07776650041341782,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,6,0.07100097835063934,0.06804075092077255,0.07514072209596634,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,7,0.07067108899354935,0.06761126965284348,0.07477108389139175,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,8,0.06764723360538483,0.06458013504743576,0.07177553325891495,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,9,0.06677684187889099,0.06355246901512146,0.07100547105073929,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,10,0.06516237556934357,0.06191641464829445,0.06948957592248917,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,11,0.06191236525774002,0.05873888358473778,0.06635845452547073,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,2,iso,12,0.06438307464122772,0.06114960461854935,0.06894899159669876,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,0,0.03138652443885803,0.02932734042406082,0.03391384333372116,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,1,0.07854603230953217,0.07375673949718475,0.0829981341958046,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,2,0.08967611938714981,0.0846402496099472,0.09274884313344955,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,3,0.09650309383869171,0.09208759665489197,0.09901384264230728,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,4,0.09552021324634552,0.09130185842514038,0.09773287922143936,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,5,0.0930749922990799,0.08873681724071503,0.09549928456544876,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,6,0.089602530002594,0.08539590239524841,0.09210080653429031,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,7,0.08991239964962006,0.08566153794527054,0.09237842261791229,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,8,0.08643676340579987,0.08217081427574158,0.08897190541028976,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,9,0.08513569831848145,0.08077368140220642,0.08774439990520477,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,10,0.08159780502319336,0.07725810259580612,0.0842101126909256,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,11,0.07979486137628555,0.07551662623882294,0.08246111124753952,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,3,iso,12,0.08017726242542267,0.07589133083820343,0.08299275487661362,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,0,0.022137722000479698,0.020048625767230988,0.023383287712931633,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,1,0.05805137753486633,0.05386308580636978,0.06089158356189728,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,2,0.06861783564090729,0.06515903770923615,0.07135259360074997,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,3,0.07720539718866348,0.07417826354503632,0.07945744693279266,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,4,0.08418548852205276,0.08190504461526871,0.08623316884040833,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,5,0.08581115305423737,0.08399152010679245,0.08787228167057037,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,6,0.08568252623081207,0.0838831216096878,0.08742839097976685,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,7,0.08504391461610794,0.083243727684021,0.08681841939687729,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,8,0.08338373899459839,0.08146186918020248,0.0848529040813446,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,9,0.08392034471035004,0.08195777237415314,0.08559948205947876,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,10,0.08237428963184357,0.08038613200187683,0.0843854546546936,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,11,0.08028410375118256,0.07810191810131073,0.08262860029935837,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,4,iso,12,0.07959534972906113,0.0774645060300827,0.08207783848047256,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,0,0.02209540270268917,0.021180592477321625,0.023158051073551178,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,1,0.05470086261630058,0.05271525681018829,0.057393282651901245,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,2,0.0751124769449234,0.07263223081827164,0.0783129408955574,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,3,0.08572535961866379,0.0829983577132225,0.08867089450359344,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,4,0.08965228497982025,0.0866864025592804,0.09221934527158737,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,5,0.09285479784011841,0.09020828455686569,0.09483766555786133,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,6,0.09392698854207993,0.09137864410877228,0.0959862768650055,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,7,0.09493906795978546,0.09242327511310577,0.0971703827381134,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,8,0.09568293392658234,0.09302421659231186,0.09795202314853668,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,9,0.09441347420215607,0.09167276322841644,0.09691731631755829,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,10,0.09326730668544769,0.0905507281422615,0.09596584737300873,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,11,0.0904655009508133,0.08777123689651489,0.09346531331539154,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,5,iso,12,0.0888054296374321,0.08588560670614243,0.09196596592664719,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,0,0.02098299004137516,0.020040465518832207,0.02256120927631855,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,1,0.047090258449316025,0.04511913284659386,0.050213899463415146,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,2,0.06108873337507248,0.05856679007411003,0.06463093310594559,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,3,0.06923826038837433,0.06658384203910828,0.07259809970855713,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,4,0.07371912896633148,0.07099199295043945,0.0770159661769867,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,5,0.07916567474603653,0.07661771029233932,0.08211777359247208,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,6,0.08154729008674622,0.07930102944374084,0.0844045951962471,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,7,0.08496686816215515,0.08247625082731247,0.08795472234487534,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,8,0.08488893508911133,0.08238102495670319,0.0877615213394165,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,9,0.08338885754346848,0.08080221712589264,0.08617198467254639,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,10,0.08280028402805328,0.08044199645519257,0.08549707382917404,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,11,0.08231908082962036,0.07984510809183121,0.08500012755393982,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,6,iso,12,0.08267165720462799,0.08010836690664291,0.08535999059677124,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,7,iso,0,0.024045484140515327,0.022905798628926277,0.025624049827456474,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,7,iso,1,0.049357522279024124,0.047587063163518906,0.05243558809161186,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,index,7,iso,2,0.06427010148763657,0.062460772693157196,0.06798839569091797,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
