subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased-untrained,length,4,iso,0,0.11762132495641708,0.11340153217315674,0.12246351689100266,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,1,0.11557012796401978,0.11154521256685257,0.12024523317813873,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,2,0.11527681350708008,0.11159870773553848,0.11979881674051285,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,3,0.11491110175848007,0.11123961955308914,0.11918393522500992,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,4,0.1143716424703598,0.1109154224395752,0.1184840276837349,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,5,0.1142127513885498,0.1107700988650322,0.11806155741214752,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,6,0.11337609589099884,0.11003448069095612,0.117061547935009,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,7,0.11156841367483139,0.1082543209195137,0.11521981656551361,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,8,0.11083223670721054,0.1078578308224678,0.11425399780273438,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,9,0.11102839559316635,0.10815050452947617,0.11438974738121033,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,10,0.10959378629922867,0.10677344352006912,0.1128476932644844,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,11,0.1090560331940651,0.10653101652860641,0.11212737113237381,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,length,4,iso,12,0.10868170112371445,0.10612614452838898,0.11174275726079941,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
