subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,length,4,gride,0,6.754019737243652,5.934446811676025,7.857327461242676,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,1,9.566120147705078,9.013914108276367,10.288702011108398,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,2,11.410869598388672,10.899728775024414,11.901891708374023,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,3,13.146860122680664,12.665401458740234,13.504073143005371,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,4,14.943644523620605,14.616921424865723,15.325664520263672,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,5,16.760034561157227,16.53173828125,17.051769256591797,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,6,18.243127822875977,17.96208953857422,18.504480361938477,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,7,19.503942489624023,19.183210372924805,19.843564987182617,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,8,20.317298889160156,19.748903274536133,20.66205596923828,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,9,20.94745635986328,20.678451538085938,21.276968002319336,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,10,21.728097915649414,21.3736572265625,22.197153091430664,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,11,22.295181274414062,21.920392990112305,22.812345504760742,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,gride,12,21.946083068847656,21.523082733154297,22.640174865722656,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,0,6.0757737159729,4.903213024139404,7.357585430145264,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,1,8.756772994995117,7.970704555511475,9.999066352844238,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,2,10.598958015441895,9.958232879638672,11.709884643554688,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,3,12.576457023620605,11.693497657775879,13.621426582336426,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,4,14.402003288269043,13.57408618927002,15.156509399414062,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,5,16.41411590576172,15.621291160583496,17.068193435668945,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,6,18.085800170898438,17.444843292236328,18.865764617919922,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,7,19.215465545654297,18.5858154296875,20.00278663635254,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,8,20.257211685180664,19.55279541015625,21.22531509399414,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,9,21.23343276977539,20.453723907470703,22.13971710205078,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,10,21.927228927612305,21.269134521484375,22.791933059692383,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,11,22.52206802368164,21.761795043945312,23.129384994506836,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,gride,12,21.982969284057617,21.158126831054688,22.680418014526367,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,0,5.122392177581787,4.489991664886475,5.550146102905273,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,1,7.791957378387451,7.091397285461426,8.283790588378906,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,2,9.821212768554688,9.131905555725098,10.376502990722656,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,3,11.925834655761719,11.26639461517334,12.380695343017578,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,4,14.005377769470215,13.245091438293457,14.60813045501709,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,5,16.067867279052734,15.464849472045898,16.5206241607666,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,6,17.841718673706055,17.1733455657959,18.333959579467773,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,7,19.08172607421875,18.402681350708008,19.484764099121094,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,8,19.993803024291992,19.17328453063965,20.373905181884766,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,9,20.70461654663086,19.851314544677734,21.139142990112305,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,10,21.72650146484375,21.09328269958496,22.1398983001709,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,11,22.293066024780273,21.717729568481445,22.582956314086914,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,6,gride,12,22.21678352355957,21.66026496887207,22.677284240722656,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,0,5.6872406005859375,4.957890510559082,6.010446548461914,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,1,8.440412521362305,7.735605716705322,8.989295959472656,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,2,10.386003494262695,9.571734428405762,11.10583782196045,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,3,12.410283088684082,11.623797416687012,13.195270538330078,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,4,14.301848411560059,13.545473098754883,15.235712051391602,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,5,16.186552047729492,15.450865745544434,17.064111709594727,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,6,17.818397521972656,17.14112091064453,18.625442504882812,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,7,18.959331512451172,18.419334411621094,19.747629165649414,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,8,19.77569007873535,19.213611602783203,20.45983123779297,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,9,20.618831634521484,20.008663177490234,21.22593116760254,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,10,21.519201278686523,21.02332878112793,21.979896545410156,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,11,22.229387283325195,21.706459045410156,22.839963912963867,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,7,gride,12,22.014291763305664,21.531591415405273,22.578794479370117,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,8,gride,0,6.266579627990723,5.703412055969238,7.169586181640625,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,8,gride,1,9.140169143676758,8.74353313446045,9.73674488067627,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
