subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,length,4,lpca99,0,565.25,558.1749877929688,571.6500244140625,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,1,520.125,514.5250244140625,523.8250122070312,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,2,503.0,497.5249938964844,506.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,3,495.0,490.3500061035156,498.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,4,488.625,484.3500061035156,492.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,5,484.5,480.3500061035156,487.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,6,480.375,475.5249938964844,483.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,7,476.875,472.5249938964844,480.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,8,474.125,470.3500061035156,477.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,9,471.75,468.3500061035156,474.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,10,469.875,466.17498779296875,473.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,11,467.875,464.3500061035156,470.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,4,lpca99,12,466.375,463.17498779296875,469.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,0,571.875,565.5250244140625,577.4749755859375,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,1,522.125,518.1749877929688,525.8250122070312,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,2,505.0,501.17498779296875,508.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,3,496.75,493.17498779296875,499.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,4,490.375,486.3500061035156,493.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,5,486.375,482.3500061035156,489.82501220703125,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,length,5,lpca99,6,482.125,478.3500061035156,485.0,1557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
