subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,0,0.12295147031545639,0.11986395716667175,0.12710697948932648,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,1,0.12091841548681259,0.11776687949895859,0.12485593557357788,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,2,0.12000657618045807,0.11696206033229828,0.12397979944944382,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,3,0.11908118426799774,0.116239994764328,0.12272577732801437,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,4,0.11859609931707382,0.11597636342048645,0.12190553545951843,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,5,0.1181534081697464,0.11569975316524506,0.12131217122077942,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,6,0.11752631515264511,0.11516670137643814,0.12058987468481064,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,7,0.11537070572376251,0.11318783462047577,0.11816460639238358,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,8,0.11408929526805878,0.11213064938783646,0.11673276871442795,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,9,0.11399252712726593,0.11203360557556152,0.11654938012361526,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,10,0.11285340785980225,0.11076674610376358,0.11535970866680145,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,iso,11,0.11258645355701447,0.1105647161602974,0.11466041952371597,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
