subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,0,638.625,634.7000122070312,641.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,1,620.375,616.7000122070312,623.4749755859375,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,2,602.75,598.7000122070312,605.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,3,586.5,582.7000122070312,589.4749755859375,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,4,571.5,567.7000122070312,574.4749755859375,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,5,558.375,554.7000122070312,561.4749755859375,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,6,545.875,542.5250244140625,548.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,7,534.375,531.5250244140625,536.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,8,524.375,521.5250244140625,526.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,9,515.0,512.3499755859375,517.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,10,505.625,503.3500061035156,507.6499938964844,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,11,498.375,496.3500061035156,500.6499938964844,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,ADJ,lpca99,12,489.25,486.5249938964844,491.6499938964844,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,0,644.875,643.1749877929688,646.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,1,626.375,625.0,628.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,2,608.375,607.0,610.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,3,592.25,591.0,593.8250122070312,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,4,577.125,576.0,578.8250122070312,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,5,563.25,562.0,564.8250122070312,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,6,550.5,549.1749877929688,551.8250122070312,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,7,538.75,538.0,540.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,8,527.875,527.0,529.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,9,518.625,518.0,519.8250122070312,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,10,509.375,508.17498779296875,510.82501220703125,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,11,501.5,500.17498779296875,502.82501220703125,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,NOUN,lpca99,12,492.375,491.17498779296875,493.82501220703125,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,0,624.25,620.3499755859375,627.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,1,607.375,604.1749877929688,610.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,2,590.875,587.3499755859375,593.8250122070312,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,3,575.75,572.3499755859375,578.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,4,561.875,559.1749877929688,564.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,5,550.0,547.3499755859375,552.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,6,538.5,536.1749877929688,541.4749755859375,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,7,527.75,525.3499755859375,530.4749755859375,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,8,517.75,515.3499755859375,520.6500244140625,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,9,509.125,507.17498779296875,511.6499938964844,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,10,500.875,499.17498779296875,503.4750061035156,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,11,493.875,492.17498779296875,495.6499938964844,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,PROPN,lpca99,12,485.5,484.17498779296875,487.6499938964844,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,0,644.625,642.1749877929688,646.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,1,626.0,623.1749877929688,628.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,2,608.375,606.1749877929688,610.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,3,591.375,589.0,593.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,4,576.375,574.0,578.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,5,562.875,561.0,564.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,6,550.5,549.0,552.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,7,538.625,536.1749877929688,540.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,8,527.625,526.0,529.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,9,518.0,517.0,519.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,10,508.875,508.0,510.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,11,501.375,500.0,502.82501220703125,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,pos,VERB,lpca99,12,492.125,491.0,493.0,2156,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
