subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,pos,ADJ,gride,0,12.053735733032227,9.835196495056152,13.795616149902344,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,1,13.647730827331543,12.3152494430542,15.194259643554688,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,2,14.776687622070312,13.993176460266113,15.757245063781738,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,3,15.851279258728027,15.16288948059082,16.643917083740234,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,4,16.78076171875,16.059669494628906,17.176374435424805,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,5,17.98784828186035,17.270492553710938,18.48397445678711,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,6,19.045236587524414,18.326725006103516,19.419193267822266,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,7,19.919254302978516,19.137922286987305,20.328712463378906,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,8,20.361417770385742,19.5997371673584,20.797700881958008,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,9,21.002975463867188,20.332950592041016,21.310998916625977,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,10,21.544157028198242,20.96929359436035,21.85759925842285,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,11,21.97008514404297,21.455516815185547,22.3885440826416,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,gride,12,21.866344451904297,21.311962127685547,22.29500961303711,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,0,10.556660652160645,9.181015014648438,12.249542236328125,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,1,12.429008483886719,11.308645248413086,13.252756118774414,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,2,13.531742095947266,12.4700345993042,14.178556442260742,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,3,14.452080726623535,13.577012062072754,15.004393577575684,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,4,15.330873489379883,14.488099098205566,15.862759590148926,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,5,16.402385711669922,15.735237121582031,16.959280014038086,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,6,17.43648338317871,16.788394927978516,18.04582977294922,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,7,18.411169052124023,17.66217041015625,19.016727447509766,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,8,19.22332191467285,18.641653060913086,19.823974609375,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,9,19.978166580200195,19.38855743408203,20.517759323120117,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,10,20.769609451293945,20.210186004638672,21.35820960998535,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,11,21.33080291748047,20.71214485168457,21.982685089111328,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,gride,12,21.507858276367188,20.849292755126953,22.131101608276367,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,0,10.52332592010498,9.366507530212402,11.824079513549805,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,1,12.644882202148438,11.883574485778809,13.241841316223145,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,2,13.891908645629883,13.346739768981934,14.18669319152832,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,3,15.098422050476074,14.781601905822754,15.390908241271973,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,4,16.331209182739258,16.12755584716797,16.603437423706055,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,5,17.831974029541016,17.63002586364746,18.291988372802734,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,6,18.83902359008789,18.515512466430664,19.248302459716797,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,7,19.84020233154297,19.621822357177734,20.08746337890625,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,8,20.53838539123535,20.380477905273438,20.663949966430664,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,9,21.36379623413086,21.15473747253418,21.552186965942383,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,10,22.17160987854004,21.96197509765625,22.371490478515625,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,11,22.609451293945312,22.30143165588379,22.779356002807617,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,PROPN,gride,12,22.41223907470703,22.23259925842285,22.648822784423828,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,0,10.302912712097168,9.231672286987305,12.012999534606934,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,1,12.220138549804688,11.434091567993164,13.304739952087402,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,2,13.499870300292969,12.846419334411621,14.378954887390137,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,3,14.784720420837402,14.225190162658691,15.721031188964844,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,4,15.963781356811523,15.428495407104492,16.93299102783203,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,5,17.275585174560547,16.848703384399414,18.20996856689453,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,6,18.372314453125,17.796567916870117,19.44523811340332,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,7,19.32475471496582,18.882038116455078,20.385143280029297,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,8,19.992136001586914,19.576597213745117,20.925756454467773,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,9,20.686262130737305,20.273574829101562,21.467529296875,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,10,21.303571701049805,20.79533576965332,22.001028060913086,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,11,21.921791076660156,21.440174102783203,22.514232635498047,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,VERB,gride,12,21.842615127563477,21.18290901184082,22.42232894897461,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
