subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,pos,ADJ,lpca99,0,636.375,635.1749877929688,637.0,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,1,569.75,568.1749877929688,571.0,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,2,549.625,548.1749877929688,550.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,3,540.5,539.1749877929688,541.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,4,533.5,532.1749877929688,534.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,5,528.875,527.3499755859375,529.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,6,524.25,522.3499755859375,525.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,7,520.25,518.3499755859375,521.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,8,516.75,515.1749877929688,517.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,9,514.375,513.1749877929688,515.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,10,512.25,510.3500061035156,513.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,11,509.875,508.3500061035156,510.82501220703125,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,ADJ,lpca99,12,507.375,505.3500061035156,508.82501220703125,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,lpca99,0,641.25,639.1749877929688,643.6500244140625,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,pos,NOUN,lpca99,1,572.5,571.1749877929688,573.8250122070312,2156,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
