subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,0,629.125,626.0,631.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,1,611.25,608.0,614.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,2,593.875,591.0,596.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,3,577.875,575.0,580.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,4,563.0,560.1749877929688,565.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,5,550.0,548.0,552.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,6,537.625,535.1749877929688,539.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,7,526.0,524.0,528.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,8,515.625,514.0,517.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,9,506.5,504.17498779296875,508.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,10,497.875,496.0,499.82501220703125,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,11,490.375,488.17498779296875,492.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,amod,lpca99,12,481.75,479.17498779296875,483.82501220703125,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,0,635.875,633.3499755859375,637.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,1,617.25,615.1749877929688,619.6500244140625,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,2,599.375,597.1749877929688,601.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,3,583.125,581.1749877929688,584.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,4,568.125,566.1749877929688,569.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,5,554.0,552.1749877929688,555.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,6,541.5,539.1749877929688,543.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,7,529.875,528.1749877929688,531.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,8,518.875,518.0,520.8250122070312,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,9,509.5,508.0,511.6499938964844,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,10,500.125,498.17498779296875,501.82501220703125,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased-untrained,relation_type,conj,lpca99,11,492.375,491.0,494.0,1960,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
