subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,relation_type,amod,gride,0,8.909354209899902,7.8302507400512695,9.645061492919922,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,1,10.949335098266602,10.36223316192627,12.092166900634766,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,2,12.369361877441406,11.846856117248535,13.495706558227539,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,3,13.657796859741211,13.133722305297852,14.670392036437988,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,4,14.865395545959473,14.321819305419922,15.6808443069458,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,5,16.285194396972656,15.768399238586426,17.023860931396484,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,6,17.62738800048828,16.999147415161133,18.363906860351562,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,7,18.768436431884766,18.140119552612305,19.637802124023438,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,8,19.49635887145996,18.790775299072266,20.44658851623535,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,9,20.390518188476562,19.87104034423828,21.184072494506836,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,10,21.16413116455078,20.71857261657715,21.819931030273438,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,11,21.661380767822266,21.29527473449707,21.978910446166992,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,gride,12,21.57162094116211,21.126779556274414,22.106651306152344,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,0,7.876981735229492,7.173868179321289,8.758561134338379,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,1,10.29410171508789,9.447885513305664,11.247489929199219,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,2,11.811902046203613,10.85831069946289,12.736082077026367,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,3,13.205845832824707,12.431656837463379,13.933403015136719,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,4,14.483359336853027,13.819870948791504,15.095794677734375,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,5,15.928834915161133,15.301403999328613,16.40849494934082,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,6,17.14826774597168,16.589019775390625,17.634634017944336,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,7,18.37330436706543,17.89613914489746,18.7786808013916,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,8,19.494516372680664,19.05599021911621,19.996484756469727,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,9,20.641284942626953,20.135536193847656,21.040266036987305,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,10,21.7911319732666,21.33623504638672,22.12139129638672,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,11,22.900299072265625,22.375240325927734,23.342939376831055,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,gride,12,23.335956573486328,23.075761795043945,23.777807235717773,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,0,14.141173362731934,12.771953582763672,15.951416015625,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,1,15.101445198059082,14.229000091552734,15.825393676757812,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,2,16.186880111694336,15.571125030517578,16.527482986450195,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,3,17.482744216918945,16.872961044311523,17.821367263793945,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,4,18.89244270324707,18.184947967529297,19.25123405456543,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,5,20.011749267578125,19.314409255981445,20.442989349365234,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,6,20.96438217163086,20.31223487854004,21.35881805419922,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,7,21.54123306274414,20.752971649169922,21.97792625427246,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,8,21.93292808532715,21.12746238708496,22.468631744384766,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,9,22.217641830444336,21.492576599121094,22.79227066040039,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,10,22.465511322021484,21.725624084472656,23.124496459960938,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,11,22.729585647583008,22.035722732543945,23.2668514251709,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,gride,12,23.0422420501709,22.369382858276367,23.697925567626953,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,0,10.271897315979004,8.816781997680664,11.665641784667969,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,1,12.207198143005371,11.187226295471191,12.954239845275879,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,2,13.180761337280273,12.542619705200195,13.681426048278809,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,3,14.540403366088867,14.028154373168945,14.995499610900879,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,4,15.794872283935547,15.398951530456543,16.19915199279785,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,5,17.037052154541016,16.715017318725586,17.456064224243164,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,6,18.26642608642578,17.926477432250977,18.64042854309082,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,7,19.206815719604492,18.94606590270996,19.55187225341797,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,8,19.895404815673828,19.611852645874023,20.26108169555664,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,9,20.697599411010742,20.49946403503418,20.93487548828125,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,10,21.480575561523438,21.256210327148438,21.748550415039062,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,11,21.99985694885254,21.738582611083984,22.276121139526367,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,obj,gride,12,22.152103424072266,21.730525970458984,22.43029022216797,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
