subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2-untrained,relation_type,amod,iso,0,0.1273072510957718,0.12404996901750565,0.1289757490158081,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,1,0.13895639777183533,0.13638176023960114,0.14111773669719696,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,2,0.13779884576797485,0.13524959981441498,0.14002582430839539,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,3,0.1368417739868164,0.13421329855918884,0.13946615159511566,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,4,0.13623861968517303,0.13390499353408813,0.13863778114318848,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,5,0.13505572080612183,0.1323079764842987,0.13744884729385376,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,6,0.13189300894737244,0.1289168745279312,0.13462784886360168,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,7,0.1281634420156479,0.1252627819776535,0.13098856806755066,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,8,0.12436018139123917,0.12140946835279465,0.12732242047786713,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,9,0.12186326831579208,0.11897631734609604,0.1248728483915329,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,10,0.12111636251211166,0.11802802234888077,0.12425624579191208,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,11,0.11978572607040405,0.11689261347055435,0.1228584572672844,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,amod,iso,12,0.12138830125331879,0.11842188984155655,0.12401074171066284,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,0,0.13593986630439758,0.13328143954277039,0.1389576643705368,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,1,0.15225188434123993,0.1498345136642456,0.15499937534332275,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,2,0.15723849833011627,0.15521501004695892,0.15908844769001007,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,3,0.15738697350025177,0.15553699433803558,0.1593949943780899,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,4,0.15805363655090332,0.15615995228290558,0.15996751189231873,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,5,0.15857933461666107,0.15639999508857727,0.16074249148368835,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,6,0.15692725777626038,0.15453305840492249,0.1587345004081726,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,7,0.15376007556915283,0.15108700096607208,0.15568944811820984,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,8,0.14954118430614471,0.14696712791919708,0.15128254890441895,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,9,0.14779558777809143,0.14493213593959808,0.149678573012352,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,10,0.14594987034797668,0.14306630194187164,0.14763525128364563,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,11,0.14453701674938202,0.14141713082790375,0.14609599113464355,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,conj,iso,12,0.14402969181537628,0.1408413201570511,0.14577312767505646,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,0,0.07506545633077621,0.07300354540348053,0.0783962681889534,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,1,0.08622964471578598,0.08411265909671783,0.08874645084142685,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,2,0.08431798219680786,0.08252515643835068,0.08709539473056793,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,3,0.08424517512321472,0.08238783478736877,0.08679138123989105,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,4,0.08470974862575531,0.08305630832910538,0.08679735660552979,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,5,0.08417787402868271,0.08240366727113724,0.08662835508584976,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,6,0.08179401606321335,0.08018656820058823,0.08444622904062271,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2-untrained,relation_type,nsubj,iso,7,0.07924552261829376,0.07748830318450928,0.08196444809436798,1960,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
