model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,erank,0,60.72853088378906,60.72853088378906,60.72853088378906,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,1,68.58750915527344,68.58750915527344,68.58750915527344,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,2,70.78790283203125,70.78790283203125,70.78790283203125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,3,73.9154052734375,73.9154052734375,73.9154052734375,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,4,76.35978698730469,76.35978698730469,76.35978698730469,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,5,77.82276153564453,77.82276153564453,77.82276153564453,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,6,79.60546875,79.60546875,79.60546875,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,7,80.95446014404297,80.95446014404297,80.95446014404297,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,8,80.9157485961914,80.9157485961914,80.9157485961914,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,9,78.91365051269531,78.91365051269531,78.91365051269531,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,10,74.45741271972656,74.45741271972656,74.45741271972656,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,11,71.24639129638672,71.24639129638672,71.24639129638672,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,erank,12,66.31684112548828,66.31684112548828,66.31684112548828,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,erank,0,60.38562774658203,60.38562774658203,60.38562774658203,189167,en_ewt-ud-train_sentences.csv
