model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,ess,0,61.6581916809082,61.6581916809082,61.6581916809082,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,1,106.24192810058594,106.24192810058594,106.24192810058594,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,2,138.314697265625,138.314697265625,138.314697265625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,3,157.71665954589844,157.71665954589844,157.71665954589844,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,4,162.36477661132812,162.36477661132812,162.36477661132812,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,5,179.72059631347656,179.72059631347656,179.72059631347656,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,6,195.70179748535156,195.70179748535156,195.70179748535156,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,7,215.50808715820312,215.50808715820312,215.50808715820312,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,8,211.46035766601562,211.46035766601562,211.46035766601562,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,9,184.18121337890625,184.18121337890625,184.18121337890625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,10,111.4808578491211,111.4808578491211,111.4808578491211,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,11,76.91218566894531,76.91218566894531,76.91218566894531,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,ess,12,72.88799285888672,72.88799285888672,72.88799285888672,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,0,60.41934585571289,60.41934585571289,60.41934585571289,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,1,104.6898193359375,104.6898193359375,104.6898193359375,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,2,136.18850708007812,136.18850708007812,136.18850708007812,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,3,154.50025939941406,154.50025939941406,154.50025939941406,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,4,158.62269592285156,158.62269592285156,158.62269592285156,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,5,175.62452697753906,175.62452697753906,175.62452697753906,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,6,191.0043182373047,191.0043182373047,191.0043182373047,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,7,211.49136352539062,211.49136352539062,211.49136352539062,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,8,206.2579345703125,206.2579345703125,206.2579345703125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,9,177.1768798828125,177.1768798828125,177.1768798828125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,ess,10,106.63188934326172,106.63188934326172,106.63188934326172,189167,en_ewt-ud-train_sentences.csv
