model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,fishers,0,5.966469764709473,5.966469764709473,5.966469764709473,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,1,6.332503318786621,6.332503318786621,6.332503318786621,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,2,6.86317253112793,6.86317253112793,6.86317253112793,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,3,7.8919901847839355,7.8919901847839355,7.8919901847839355,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,4,8.28360652923584,8.28360652923584,8.28360652923584,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,5,9.260132789611816,9.260132789611816,9.260132789611816,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,6,10.023270606994629,10.023270606994629,10.023270606994629,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,7,12.483466148376465,12.483466148376465,12.483466148376465,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,8,11.230113983154297,11.230113983154297,11.230113983154297,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,9,11.230113983154297,11.230113983154297,11.230113983154297,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,10,6.0764007568359375,6.0764007568359375,6.0764007568359375,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,11,5.428186416625977,5.428186416625977,5.428186416625977,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,fishers,12,7.589369773864746,7.589369773864746,7.589369773864746,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,fishers,0,6.02016019821167,6.02016019821167,6.02016019821167,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,fishers,1,6.4061665534973145,6.4061665534973145,6.4061665534973145,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,fishers,2,6.9798688888549805,6.9798688888549805,6.9798688888549805,189167,en_ewt-ud-train_sentences.csv
