model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,gride,0,5.908270835876465,5.908270835876465,5.908270835876465,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,1,5.774832725524902,5.774832725524902,5.774832725524902,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,2,4.598813056945801,4.598813056945801,4.598813056945801,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,3,6.607972621917725,6.607972621917725,6.607972621917725,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,4,9.966741561889648,9.966741561889648,9.966741561889648,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,5,10.112930297851562,10.112930297851562,10.112930297851562,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,6,12.867770195007324,12.867770195007324,12.867770195007324,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,7,14.17704963684082,14.17704963684082,14.17704963684082,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,8,15.648563385009766,15.648563385009766,15.648563385009766,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,9,13.179661750793457,13.179661750793457,13.179661750793457,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,10,14.585836410522461,14.585836410522461,14.585836410522461,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,11,11.847612380981445,11.847612380981445,11.847612380981445,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,gride,12,10.784242630004883,10.784242630004883,10.784242630004883,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,gride,0,5.708910942077637,5.708910942077637,5.708910942077637,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,gride,1,5.171349048614502,5.171349048614502,5.171349048614502,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,gride,2,4.256958961486816,4.256958961486816,4.256958961486816,189167,en_ewt-ud-train_sentences.csv
