model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,lpca,0,70.0,70.0,70.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,1,75.0,75.0,75.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,2,78.0,78.0,78.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,3,83.0,83.0,83.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,4,87.0,87.0,87.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,5,90.0,90.0,90.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,6,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,7,97.0,97.0,97.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,8,97.0,97.0,97.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,9,95.0,95.0,95.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,10,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,11,84.0,84.0,84.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca,12,65.0,65.0,65.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,0,68.0,68.0,68.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,1,75.0,75.0,75.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,2,78.0,78.0,78.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,3,82.0,82.0,82.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,4,87.0,87.0,87.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,5,89.0,89.0,89.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,6,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,7,97.0,97.0,97.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,8,97.0,97.0,97.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,9,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,10,89.0,89.0,89.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,11,82.0,82.0,82.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca,12,63.0,63.0,63.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,0,69.0,69.0,69.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,1,76.0,76.0,76.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,2,79.0,79.0,79.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,3,83.0,83.0,83.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,4,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,5,90.0,90.0,90.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,6,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,7,97.0,97.0,97.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,8,97.0,97.0,97.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,9,95.0,95.0,95.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,10,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,11,84.0,84.0,84.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca,12,66.0,66.0,66.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,0,15.0,15.0,15.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,1,5.0,5.0,5.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,2,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,3,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,4,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,5,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,6,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,7,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,8,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,9,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca,10,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
