model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,lpca99,0,74.0,74.0,74.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,1,82.0,82.0,82.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,2,85.0,85.0,85.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,3,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,4,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,5,92.0,92.0,92.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,6,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,7,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,8,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,9,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,10,89.0,89.0,89.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,11,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,lpca99,12,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,0,75.0,75.0,75.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,1,82.0,82.0,82.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,2,86.0,86.0,86.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,3,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,4,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,5,92.0,92.0,92.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,6,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,7,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,8,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,9,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,10,89.0,89.0,89.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,11,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,lpca99,12,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,0,75.0,75.0,75.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,1,82.0,82.0,82.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,2,85.0,85.0,85.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,3,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,4,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,5,92.0,92.0,92.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,6,93.0,93.0,93.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,7,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,8,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,9,94.0,94.0,94.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,10,89.0,89.0,89.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,11,88.0,88.0,88.0,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,lpca99,12,91.0,91.0,91.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,0,71.0,71.0,71.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,1,72.0,72.0,72.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,2,52.0,52.0,52.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,3,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,4,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,5,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,6,3.0,3.0,3.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,7,9.0,9.0,9.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,8,19.0,19.0,19.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,9,31.0,31.0,31.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,10,42.0,42.0,42.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,11,52.0,52.0,52.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,12,40.0,40.0,40.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,0,71.0,71.0,71.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,1,74.0,74.0,74.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,2,55.0,55.0,55.0,189167,en_ewt-ud-train_sentences.csv
