model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,mada,0,33.14288330078125,33.14288330078125,33.14288330078125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,1,21.341848373413086,21.341848373413086,21.341848373413086,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,2,19.305728912353516,19.305728912353516,19.305728912353516,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,3,17.873430252075195,17.873430252075195,17.873430252075195,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,4,25.17780113220215,25.17780113220215,25.17780113220215,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,5,27.265432357788086,27.265432357788086,27.265432357788086,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,6,32.32551193237305,32.32551193237305,32.32551193237305,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,7,34.229488372802734,34.229488372802734,34.229488372802734,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,8,33.39988708496094,33.39988708496094,33.39988708496094,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,9,29.224260330200195,29.224260330200195,29.224260330200195,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,10,13.451143264770508,13.451143264770508,13.451143264770508,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,11,22.62012481689453,22.62012481689453,22.62012481689453,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mada,12,27.33316421508789,27.33316421508789,27.33316421508789,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,0,30.077659606933594,30.077659606933594,30.077659606933594,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,1,25.276212692260742,25.276212692260742,25.276212692260742,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,2,20.33159065246582,20.33159065246582,20.33159065246582,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,3,19.039125442504883,19.039125442504883,19.039125442504883,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,4,22.728137969970703,22.728137969970703,22.728137969970703,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,5,24.511526107788086,24.511526107788086,24.511526107788086,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,6,26.57723617553711,26.57723617553711,26.57723617553711,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,7,29.917387008666992,29.917387008666992,29.917387008666992,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,8,27.242023468017578,27.242023468017578,27.242023468017578,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,9,22.94530487060547,22.94530487060547,22.94530487060547,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,10,9.68417739868164,9.68417739868164,9.68417739868164,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,11,20.160226821899414,20.160226821899414,20.160226821899414,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mada,12,24.64065933227539,24.64065933227539,24.64065933227539,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,0,34.81554412841797,34.81554412841797,34.81554412841797,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,1,21.436243057250977,21.436243057250977,21.436243057250977,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,2,19.66151237487793,19.66151237487793,19.66151237487793,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,3,18.11897850036621,18.11897850036621,18.11897850036621,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,4,24.868085861206055,24.868085861206055,24.868085861206055,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,5,27.133609771728516,27.133609771728516,27.133609771728516,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,6,32.88420486450195,32.88420486450195,32.88420486450195,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,7,34.0128173828125,34.0128173828125,34.0128173828125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,8,33.058311462402344,33.058311462402344,33.058311462402344,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,9,28.960437774658203,28.960437774658203,28.960437774658203,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,10,13.506330490112305,13.506330490112305,13.506330490112305,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,11,23.00065040588379,23.00065040588379,23.00065040588379,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mada,12,27.37626838684082,27.37626838684082,27.37626838684082,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mada,0,15.080480575561523,15.080480575561523,15.080480575561523,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mada,1,28.79404640197754,28.79404640197754,28.79404640197754,189167,en_ewt-ud-train_sentences.csv
