model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,mle,0,6.698789596557617,6.698789596557617,6.698789596557617,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,1,11.941335678100586,11.941335678100586,11.941335678100586,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,2,13.182723045349121,13.182723045349121,13.182723045349121,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,3,14.393563270568848,14.393563270568848,14.393563270568848,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,4,18.620731353759766,18.620731353759766,18.620731353759766,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,5,20.595714569091797,20.595714569091797,20.595714569091797,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,6,24.64816665649414,24.64816665649414,24.64816665649414,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,7,27.05291175842285,27.05291175842285,27.05291175842285,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,8,27.066211700439453,27.066211700439453,27.066211700439453,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,9,23.67359733581543,23.67359733581543,23.67359733581543,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,10,8.14721393585205,8.14721393585205,8.14721393585205,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,11,6.732024192810059,6.732024192810059,6.732024192810059,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mle,12,16.276140213012695,16.276140213012695,16.276140213012695,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,0,6.585367202758789,6.585367202758789,6.585367202758789,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,1,12.645188331604004,12.645188331604004,12.645188331604004,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,2,13.71870231628418,13.71870231628418,13.71870231628418,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,3,15.262181282043457,15.262181282043457,15.262181282043457,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,4,17.776653289794922,17.776653289794922,17.776653289794922,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,5,19.884382247924805,19.884382247924805,19.884382247924805,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,6,21.96280288696289,21.96280288696289,21.96280288696289,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,7,24.179397583007812,24.179397583007812,24.179397583007812,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,8,23.969945907592773,23.969945907592773,23.969945907592773,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,9,18.9570369720459,18.9570369720459,18.9570369720459,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,10,7.492692947387695,7.492692947387695,7.492692947387695,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,11,6.326712608337402,6.326712608337402,6.326712608337402,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mle,12,15.10053825378418,15.10053825378418,15.10053825378418,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,0,6.761191368103027,6.761191368103027,6.761191368103027,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,1,12.048149108886719,12.048149108886719,12.048149108886719,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,2,13.307962417602539,13.307962417602539,13.307962417602539,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,3,14.520991325378418,14.520991325378418,14.520991325378418,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,4,18.631492614746094,18.631492614746094,18.631492614746094,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,5,20.490297317504883,20.490297317504883,20.490297317504883,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,6,24.632211685180664,24.632211685180664,24.632211685180664,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,7,26.803382873535156,26.803382873535156,26.803382873535156,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,8,27.04736328125,27.04736328125,27.04736328125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,9,23.87884521484375,23.87884521484375,23.87884521484375,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,10,8.177445411682129,8.177445411682129,8.177445411682129,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,11,6.744405746459961,6.744405746459961,6.744405746459961,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mle,12,16.306699752807617,16.306699752807617,16.306699752807617,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,0,6.539924144744873,6.539924144744873,6.539924144744873,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,1,8.394169807434082,8.394169807434082,8.394169807434082,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,2,8.538031578063965,8.538031578063965,8.538031578063965,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,3,9.662199020385742,9.662199020385742,9.662199020385742,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,4,11.426837921142578,11.426837921142578,11.426837921142578,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,5,12.523469924926758,12.523469924926758,12.523469924926758,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,6,13.609819412231445,13.609819412231445,13.609819412231445,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,7,14.29768180847168,14.29768180847168,14.29768180847168,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,8,14.602676391601562,14.602676391601562,14.602676391601562,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,9,14.988972663879395,14.988972663879395,14.988972663879395,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,10,14.145336151123047,14.145336151123047,14.145336151123047,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,11,13.425950050354004,13.425950050354004,13.425950050354004,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,mle,12,4.09993839263916,4.09993839263916,4.09993839263916,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,0,6.525879859924316,6.525879859924316,6.525879859924316,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,1,8.386706352233887,8.386706352233887,8.386706352233887,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,2,8.846548080444336,8.846548080444336,8.846548080444336,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,3,10.509194374084473,10.509194374084473,10.509194374084473,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,4,12.707472801208496,12.707472801208496,12.707472801208496,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,5,14.054596900939941,14.054596900939941,14.054596900939941,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,6,15.38099193572998,15.38099193572998,15.38099193572998,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,7,16.18732261657715,16.18732261657715,16.18732261657715,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,mle,8,16.667682647705078,16.667682647705078,16.667682647705078,189167,en_ewt-ud-train_sentences.csv
