model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,mom,0,6.295557022094727,6.295557022094727,6.295557022094727,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,1,7.411708354949951,7.411708354949951,7.411708354949951,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,2,5.559057712554932,5.559057712554932,5.559057712554932,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,3,6.181900978088379,6.181900978088379,6.181900978088379,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,4,7.822468280792236,7.822468280792236,7.822468280792236,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,5,7.687225818634033,7.687225818634033,7.687225818634033,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,6,9.371943473815918,9.371943473815918,9.371943473815918,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,7,9.037250518798828,9.037250518798828,9.037250518798828,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,8,8.236180305480957,8.236180305480957,8.236180305480957,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,9,6.455327987670898,6.455327987670898,6.455327987670898,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,10,7.609827518463135,7.609827518463135,7.609827518463135,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,11,6.548823833465576,6.548823833465576,6.548823833465576,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,mom,12,5.796213626861572,5.796213626861572,5.796213626861572,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,0,5.999906539916992,5.999906539916992,5.999906539916992,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,1,7.007453918457031,7.007453918457031,7.007453918457031,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,2,5.317300796508789,5.317300796508789,5.317300796508789,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,3,5.937597751617432,5.937597751617432,5.937597751617432,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,4,7.44249963760376,7.44249963760376,7.44249963760376,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,5,7.367875576019287,7.367875576019287,7.367875576019287,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,6,8.894015312194824,8.894015312194824,8.894015312194824,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,7,8.640049934387207,8.640049934387207,8.640049934387207,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,8,7.937105178833008,7.937105178833008,7.937105178833008,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,9,6.186660289764404,6.186660289764404,6.186660289764404,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,10,7.212886333465576,7.212886333465576,7.212886333465576,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,11,6.268667697906494,6.268667697906494,6.268667697906494,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,mom,12,5.601273059844971,5.601273059844971,5.601273059844971,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,0,5.3459625244140625,5.3459625244140625,5.3459625244140625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,1,7.445465087890625,7.445465087890625,7.445465087890625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,2,5.3237996101379395,5.3237996101379395,5.3237996101379395,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,3,6.001652240753174,6.001652240753174,6.001652240753174,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,4,7.6827311515808105,7.6827311515808105,7.6827311515808105,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,5,7.230611324310303,7.230611324310303,7.230611324310303,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,6,9.008783340454102,9.008783340454102,9.008783340454102,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,7,9.091775894165039,9.091775894165039,9.091775894165039,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,8,8.378118515014648,8.378118515014648,8.378118515014648,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,9,6.5151519775390625,6.5151519775390625,6.5151519775390625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,mom,10,7.6261467933654785,7.6261467933654785,7.6261467933654785,189167,en_ewt-ud-train_sentences.csv
