model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,pca95,0,69.0,69.0,69.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,1,73.0,73.0,73.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,2,74.0,74.0,74.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,3,76.0,76.0,76.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,4,79.0,79.0,79.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,5,81.0,81.0,81.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,6,82.0,82.0,82.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,7,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,8,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,9,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,10,81.0,81.0,81.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,11,81.0,81.0,81.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,pca95,12,80.0,80.0,80.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,0,69.0,69.0,69.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,1,73.0,73.0,73.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,2,74.0,74.0,74.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,3,76.0,76.0,76.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,4,79.0,79.0,79.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,5,80.0,80.0,80.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,6,82.0,82.0,82.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,7,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,8,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,9,82.0,82.0,82.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,10,81.0,81.0,81.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,11,80.0,80.0,80.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,pca95,12,80.0,80.0,80.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,0,71.0,71.0,71.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,1,74.0,74.0,74.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,2,74.0,74.0,74.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,3,76.0,76.0,76.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,4,79.0,79.0,79.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,5,80.0,80.0,80.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,6,82.0,82.0,82.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,7,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,8,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,9,83.0,83.0,83.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,10,81.0,81.0,81.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,11,81.0,81.0,81.0,10000,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,pca95,12,80.0,80.0,80.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,0,60.0,60.0,60.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,1,59.0,59.0,59.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,2,7.0,7.0,7.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,3,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,4,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,5,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,6,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,7,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,8,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,9,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,10,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,11,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,pca95,12,6.0,6.0,6.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,pca95,0,61.0,61.0,61.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,pca95,1,61.0,61.0,61.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,pca95,2,11.0,11.0,11.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,pca95,3,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,pca95,4,1.0,1.0,1.0,10000,en_ewt-ud-train_sentences.csv
