model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,sf,0,0.03709596395492554,0.03709596395492554,0.03709596395492554,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,1,0.41534531116485596,0.41534531116485596,0.41534531116485596,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,2,0.452131986618042,0.452131986618042,0.452131986618042,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,3,0.4972592890262604,0.4972592890262604,0.4972592890262604,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,4,0.5392060279846191,0.5392060279846191,0.5392060279846191,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,5,0.5573573708534241,0.5573573708534241,0.5573573708534241,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,6,0.5785502791404724,0.5785502791404724,0.5785502791404724,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,7,0.597478449344635,0.597478449344635,0.597478449344635,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,8,0.6017510890960693,0.6017510890960693,0.6017510890960693,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,9,0.5799667835235596,0.5799667835235596,0.5799667835235596,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,10,0.44411328434944153,0.44411328434944153,0.44411328434944153,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,11,0.37149518728256226,0.37149518728256226,0.37149518728256226,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,sf,12,0.5065639019012451,0.5065639019012451,0.5065639019012451,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,0,0.03767286613583565,0.03767286613583565,0.03767286613583565,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,1,0.41569310426712036,0.41569310426712036,0.41569310426712036,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,2,0.4533470869064331,0.4533470869064331,0.4533470869064331,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,3,0.4964725375175476,0.4964725375175476,0.4964725375175476,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,4,0.5390806794166565,0.5390806794166565,0.5390806794166565,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,5,0.5542584657669067,0.5542584657669067,0.5542584657669067,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,6,0.5754300355911255,0.5754300355911255,0.5754300355911255,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,7,0.5928635001182556,0.5928635001182556,0.5928635001182556,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,8,0.597023069858551,0.597023069858551,0.597023069858551,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,9,0.5734228491783142,0.5734228491783142,0.5734228491783142,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,10,0.43777036666870117,0.43777036666870117,0.43777036666870117,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,11,0.3685958981513977,0.3685958981513977,0.3685958981513977,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,sf,12,0.5010015368461609,0.5010015368461609,0.5010015368461609,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,0,0.03811641037464142,0.03811641037464142,0.03811641037464142,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,1,0.4194473624229431,0.4194473624229431,0.4194473624229431,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,2,0.4555434584617615,0.4555434584617615,0.4555434584617615,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,3,0.49769327044487,0.49769327044487,0.49769327044487,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,4,0.5387897491455078,0.5387897491455078,0.5387897491455078,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,5,0.5568757057189941,0.5568757057189941,0.5568757057189941,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,6,0.5796356797218323,0.5796356797218323,0.5796356797218323,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,7,0.5985363125801086,0.5985363125801086,0.5985363125801086,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,8,0.5950314402580261,0.5950314402580261,0.5950314402580261,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,9,0.578640341758728,0.578640341758728,0.578640341758728,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,10,0.4435519576072693,0.4435519576072693,0.4435519576072693,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,11,0.3720216453075409,0.3720216453075409,0.3720216453075409,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,last,sf,12,0.5053113102912903,0.5053113102912903,0.5053113102912903,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,0,0.04228696599602699,0.04228696599602699,0.04228696599602699,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,1,0.19912990927696228,0.19912990927696228,0.19912990927696228,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,2,0.031347811222076416,0.031347811222076416,0.031347811222076416,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,3,0.0033706265967339277,0.0033706265967339277,0.0033706265967339277,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,4,0.004273077938705683,0.004273077938705683,0.004273077938705683,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,5,0.005155929364264011,0.005155929364264011,0.005155929364264011,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,6,0.00619196193292737,0.00619196193292737,0.00619196193292737,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,7,0.007903298363089561,0.007903298363089561,0.007903298363089561,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,8,0.010478510521352291,0.010478510521352291,0.010478510521352291,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,9,0.014803819358348846,0.014803819358348846,0.014803819358348846,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,10,0.02058076299726963,0.02058076299726963,0.02058076299726963,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,11,0.029877794906497,0.029877794906497,0.029877794906497,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,sf,12,0.02544955350458622,0.02544955350458622,0.02544955350458622,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,0,0.04411356896162033,0.04411356896162033,0.04411356896162033,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,1,0.22006572782993317,0.22006572782993317,0.22006572782993317,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,2,0.03843798115849495,0.03843798115849495,0.03843798115849495,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,3,0.004275219049304724,0.004275219049304724,0.004275219049304724,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,4,0.005401980131864548,0.005401980131864548,0.005401980131864548,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,5,0.006540765520185232,0.006540765520185232,0.006540765520185232,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,6,0.007876436226069927,0.007876436226069927,0.007876436226069927,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,7,0.010045892558991909,0.010045892558991909,0.010045892558991909,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,8,0.013456467539072037,0.013456467539072037,0.013456467539072037,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,9,0.018678488209843636,0.018678488209843636,0.018678488209843636,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,10,0.026204194873571396,0.026204194873571396,0.026204194873571396,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,11,0.03805430978536606,0.03805430978536606,0.03805430978536606,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,sf,12,0.02722141332924366,0.02722141332924366,0.02722141332924366,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,sf,0,0.045033443719148636,0.045033443719148636,0.045033443719148636,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,sf,1,0.23184943199157715,0.23184943199157715,0.23184943199157715,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,sf,2,0.043829839676618576,0.043829839676618576,0.043829839676618576,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,sf,3,0.004942879546433687,0.004942879546433687,0.004942879546433687,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,sf,4,0.006246384233236313,0.006246384233236313,0.006246384233236313,189167,en_ewt-ud-train_sentences.csv
