model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,spect,0,62.76470184326172,62.76470184326172,62.76470184326172,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,1,40.7829704284668,40.7829704284668,40.7829704284668,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,2,35.90431213378906,35.90431213378906,35.90431213378906,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,3,34.09059143066406,34.09059143066406,34.09059143066406,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,4,36.151676177978516,36.151676177978516,36.151676177978516,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,5,34.38017272949219,34.38017272949219,34.38017272949219,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,6,31.41594123840332,31.41594123840332,31.41594123840332,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,7,29.083900451660156,29.083900451660156,29.083900451660156,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,8,28.7293701171875,28.7293701171875,28.7293701171875,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,9,33.31090545654297,33.31090545654297,33.31090545654297,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,10,41.06739807128906,41.06739807128906,41.06739807128906,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,11,52.75168228149414,52.75168228149414,52.75168228149414,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,spect,12,79.48184204101562,79.48184204101562,79.48184204101562,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,spect,0,64.53462219238281,64.53462219238281,64.53462219238281,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,spect,1,41.85525131225586,41.85525131225586,41.85525131225586,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,spect,2,36.70355987548828,36.70355987548828,36.70355987548828,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,spect,3,35.02062225341797,35.02062225341797,35.02062225341797,189167,en_ewt-ud-train_sentences.csv
