model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,0,292.86370849609375,292.86370849609375,292.86370849609375,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,1,357.6080322265625,357.6080322265625,357.6080322265625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,2,443.441162109375,443.441162109375,443.441162109375,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,3,433.5659484863281,433.5659484863281,433.5659484863281,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,4,489.2350158691406,489.2350158691406,489.2350158691406,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,5,560.3987426757812,560.3987426757812,560.3987426757812,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,6,547.2018432617188,547.2018432617188,547.2018432617188,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,7,540.2977294921875,540.2977294921875,540.2977294921875,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,8,550.1729125976562,550.1729125976562,550.1729125976562,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,9,501.2389831542969,501.2389831542969,501.2389831542969,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,10,517.3485717773438,517.3485717773438,517.3485717773438,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,11,622.082275390625,622.082275390625,622.082275390625,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,first,vmf_kappa,12,542.8397216796875,542.8397216796875,542.8397216796875,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,0,292.25811767578125,292.25811767578125,292.25811767578125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,1,360.3096923828125,360.3096923828125,360.3096923828125,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,2,446.9493713378906,446.9493713378906,446.9493713378906,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,3,438.4298400878906,438.4298400878906,438.4298400878906,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,4,494.4031677246094,494.4031677246094,494.4031677246094,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,5,566.29296875,566.29296875,566.29296875,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,6,552.4683227539062,552.4683227539062,552.4683227539062,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,7,544.4192504882812,544.4192504882812,544.4192504882812,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,8,554.0895385742188,554.0895385742188,554.0895385742188,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,9,504.5630187988281,504.5630187988281,504.5630187988281,189167,en_ewt-ud-train_sentences.csv
bert-base-uncased,bert-base-uncased,mean,vmf_kappa,10,520.3840942382812,520.3840942382812,520.3840942382812,189167,en_ewt-ud-train_sentences.csv
