subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,arity,0,corrint,0,3.943075656890869,3.2373907566070557,4.54987096786499,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,1,2.4067986011505127,1.9988839626312256,2.9094467163085938,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,2,3.223173141479492,3.100985527038574,3.3893895149230957,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,3,4.204672336578369,3.700857639312744,4.780454635620117,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,4,4.6114983558654785,4.429436206817627,4.7992658615112305,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,5,6.628049373626709,6.234620571136475,7.163562774658203,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,6,8.434514045715332,7.743597984313965,9.136650085449219,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,7,10.029729843139648,9.524392127990723,10.742264747619629,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,8,12.590150833129883,12.067436218261719,13.183178901672363,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,9,12.657319068908691,12.061420440673828,13.488945007324219,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,10,12.254533767700195,11.503297805786133,12.92458438873291,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,11,12.36347484588623,11.8690767288208,13.123552322387695,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,corrint,12,11.375096321105957,10.34768295288086,12.24239444732666,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,0,11.73384952545166,11.267850875854492,12.096229553222656,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,1,13.289436340332031,12.105427742004395,14.529121398925781,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,2,11.70926570892334,11.078805923461914,12.355738639831543,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,3,12.629900932312012,12.025808334350586,13.481097221374512,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,4,13.539475440979004,12.873324394226074,14.640955924987793,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,5,14.592177391052246,14.084427833557129,15.296727180480957,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,6,14.773844718933105,14.160825729370117,15.409113883972168,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,corrint,7,15.382966995239258,14.745708465576172,15.976056098937988,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
