subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,arity,0,mom,0,9.772448539733887,9.440742492675781,10.112260818481445,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,1,15.39401626586914,14.74472713470459,16.55168342590332,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,2,22.72686004638672,21.759235382080078,24.332447052001953,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,3,21.748376846313477,20.851675033569336,23.247005462646484,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,4,15.931694030761719,15.433269500732422,16.6104679107666,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,5,18.387948989868164,17.76529312133789,19.282106399536133,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,6,18.80270004272461,18.334461212158203,19.386388778686523,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,7,20.836021423339844,20.246231079101562,21.59381866455078,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,8,22.37944984436035,21.670278549194336,22.93929100036621,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,9,27.8057861328125,26.533775329589844,29.075258255004883,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,10,47.372222900390625,45.70020294189453,48.722930908203125,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,11,36.0158576965332,34.823143005371094,37.14320373535156,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,0,mom,12,23.685583114624023,23.206039428710938,24.06631088256836,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,0,22.71869659423828,21.466642379760742,24.15464973449707,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,1,26.149639129638672,24.991193771362305,27.540935516357422,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,2,25.861976623535156,24.756942749023438,26.897140502929688,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,3,26.445730209350586,25.321331024169922,27.642566680908203,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,4,26.024009704589844,25.220598220825195,27.398469924926758,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,5,25.280494689941406,24.564529418945312,26.425884246826172,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,6,25.79143524169922,25.227890014648438,26.960697174072266,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,7,26.109298706054688,25.598228454589844,26.891475677490234,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,8,25.960161209106445,25.62815284729004,26.550487518310547,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,arity,1,mom,9,27.72181510925293,27.213420867919922,28.148487091064453,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
