subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,arity,0,corrint,0,3.324296236038208,2.4511096477508545,3.9230117797851562,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,1,1.354343056678772,1.2282967567443848,1.4702017307281494,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,2,1.1419684886932373,1.086037516593933,1.238673448562622,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,3,1.977647066116333,1.8551942110061646,2.137129068374634,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,4,2.8179612159729004,2.755260467529297,2.9229722023010254,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,5,3.8293895721435547,3.63069224357605,4.008380889892578,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,6,4.327497482299805,4.028738975524902,4.628232479095459,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,7,5.063068866729736,4.817090034484863,5.372491836547852,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,8,5.958350658416748,5.629735946655273,6.3193840980529785,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,9,7.017489433288574,6.62923526763916,7.555723667144775,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,10,7.716687202453613,7.145572185516357,8.354147911071777,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,11,8.068283081054688,7.616886138916016,8.754883766174316,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,corrint,12,5.202702522277832,4.831037998199463,5.753245830535889,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,0,11.054434776306152,10.707609176635742,11.30092716217041,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,1,11.524942398071289,11.169129371643066,12.006457328796387,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,2,11.336275100708008,11.077469825744629,11.707320213317871,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,3,11.8450288772583,11.580633163452148,12.08743953704834,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,4,12.710240364074707,12.468437194824219,13.051775932312012,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,5,13.443775177001953,13.219087600708008,13.942720413208008,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,6,14.387689590454102,13.981801986694336,14.728870391845703,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,7,14.91457462310791,14.653701782226562,15.086645126342773,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,corrint,8,15.299188613891602,14.991901397705078,15.497343063354492,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
