subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,arity,0,gride,0,3.469015121459961,3.4066076278686523,3.5637271404266357,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,1,5.596473217010498,5.396204471588135,5.905084133148193,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,2,6.099041938781738,5.811661243438721,6.562840461730957,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,3,8.520254135131836,8.20451831817627,9.207244873046875,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,4,10.72160530090332,10.378399848937988,11.298120498657227,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,5,12.600936889648438,12.308823585510254,13.137951850891113,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,6,13.499835968017578,13.163352966308594,13.987565994262695,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,7,14.22923755645752,13.874786376953125,14.781082153320312,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,8,14.608989715576172,14.206341743469238,15.106242179870605,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,9,14.71542739868164,14.321457862854004,15.105712890625,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,10,14.676239013671875,14.284727096557617,15.133511543273926,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,11,14.49544620513916,14.170960426330566,14.992757797241211,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,gride,12,5.901863098144531,5.718058109283447,6.073261737823486,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,0,17.76171112060547,16.87093734741211,18.298931121826172,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,1,18.480712890625,17.14258575439453,19.309688568115234,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,2,18.328125,16.435134887695312,19.373504638671875,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,3,18.607681274414062,17.10719871520996,19.398283004760742,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,4,19.482330322265625,18.98859405517578,19.88076400756836,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,5,19.84777069091797,19.121572494506836,20.30851936340332,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,6,19.772056579589844,19.01420783996582,20.31373405456543,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,7,19.74380111694336,18.848587036132812,20.40853500366211,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,8,19.99396514892578,19.189727783203125,20.712295532226562,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,9,20.656930923461914,19.844562530517578,21.313560485839844,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,10,21.438610076904297,20.531587600708008,22.382688522338867,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,11,21.679031372070312,20.876605987548828,22.81547737121582,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,gride,12,7.606791973114014,7.51065731048584,7.663768291473389,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,2,gride,0,18.512313842773438,17.76410484313965,19.711688995361328,18037,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,2,gride,1,18.050434112548828,16.818498611450195,19.2265682220459,18037,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,2,gride,2,17.64790916442871,16.218048095703125,19.070953369140625,18037,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,2,gride,3,18.228641510009766,17.08887481689453,19.834590911865234,18037,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
