subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,arity,0,mom,0,12.378508567810059,11.790668487548828,13.347021102905273,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,1,12.060868263244629,11.570212364196777,12.865401268005371,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,2,12.695951461791992,12.158769607543945,13.641298294067383,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,3,15.141824722290039,14.689802169799805,16.045257568359375,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,4,17.032833099365234,16.621360778808594,17.66433334350586,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,5,18.024078369140625,17.6562442779541,18.436046600341797,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,6,18.581403732299805,18.229246139526367,18.87422752380371,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,7,18.984148025512695,18.72170066833496,19.229137420654297,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,8,19.058258056640625,18.765165328979492,19.297847747802734,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,9,19.026803970336914,18.779876708984375,19.281951904296875,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,10,18.903837203979492,18.740617752075195,19.25918960571289,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,11,18.941757202148438,18.69061851501465,19.18792724609375,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,mom,12,7.220252990722656,7.100731372833252,7.293055057525635,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,0,18.791250228881836,18.042097091674805,19.297449111938477,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,1,20.101184844970703,19.694948196411133,20.632648468017578,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,2,19.865957260131836,19.428667068481445,20.10616683959961,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,3,20.51527976989746,20.004940032958984,20.821386337280273,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,4,21.812437057495117,21.345359802246094,22.126129150390625,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,5,22.48033332824707,22.00870704650879,22.79334259033203,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,6,22.569108963012695,22.033042907714844,23.015487670898438,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,7,22.899391174316406,22.492416381835938,23.22235107421875,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,8,23.106008529663086,22.895599365234375,23.42080307006836,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,mom,9,23.765104293823242,23.46005630493164,24.151952743530273,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
