subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,arity,0,rand,0,0.6431194543838501,0.6382526159286499,0.6483303308486938,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,1,0.7081635594367981,0.7016228437423706,0.714879035949707,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,2,0.634453296661377,0.6272054314613342,0.6425093412399292,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,3,0.6333330869674683,0.6264870762825012,0.6394244432449341,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,4,0.5897776484489441,0.5858097076416016,0.593960165977478,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,5,0.5638173222541809,0.559960126876831,0.5677796602249146,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,6,0.5388118028640747,0.5344685912132263,0.5422661304473877,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,7,0.5297046899795532,0.5260012149810791,0.5330451130867004,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,8,0.5350901484489441,0.5316821336746216,0.5376608371734619,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,9,0.5547559261322021,0.5512151122093201,0.5588185787200928,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,10,0.5984846353530884,0.5925449132919312,0.6013808846473694,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,11,0.712325930595398,0.7066845893859863,0.7173035740852356,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,rand,12,0.9739004969596863,0.9726829528808594,0.9750491976737976,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,0,0.5844294428825378,0.580339252948761,0.5889501571655273,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,1,0.6537890434265137,0.6481679677963257,0.6593083143234253,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,2,0.5832449197769165,0.5761657357215881,0.5905405879020691,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,3,0.5735406279563904,0.5713345408439636,0.5773149132728577,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,4,0.538287341594696,0.534101665019989,0.5419995784759521,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,5,0.5282162427902222,0.5254241824150085,0.5311014652252197,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,6,0.5149587392807007,0.5124267339706421,0.5169088244438171,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,7,0.5205196142196655,0.5168278217315674,0.5244702100753784,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,rand,8,0.5308866500854492,0.5270953178405762,0.5341673493385315,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
