subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,arity,0,tle,0,,,,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,1,6.391128063201904,6.14420223236084,6.873569965362549,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,2,6.764408588409424,6.439602375030518,7.272290229797363,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,3,7.816834449768066,7.330080986022949,8.509278297424316,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,4,8.768512725830078,8.293654441833496,9.371793746948242,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,5,9.640212059020996,9.13117504119873,10.237167358398438,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,6,10.062682151794434,9.328051567077637,10.756325721740723,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,7,10.557144165039062,9.531237602233887,11.340475082397461,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,8,10.7230806350708,9.631111145019531,11.586886405944824,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,9,10.753676414489746,9.596094131469727,11.968021392822266,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,10,10.78548526763916,9.676900863647461,12.20044994354248,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,11,11.324490547180176,10.098509788513184,12.57694149017334,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,0,tle,12,8.070508003234863,7.869370460510254,8.288582801818848,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,tle,0,7.140841007232666,5.833988189697266,8.148249626159668,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,tle,1,7.691222190856934,6.6620259284973145,8.425483703613281,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,tle,2,7.78638219833374,7.02340030670166,8.846778869628906,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,arity,1,tle,3,7.656290054321289,6.5727386474609375,8.758476257324219,20239,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
