subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,index,1,corrint,0,13.700665473937988,0.05045421048998833,22.741497039794922,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,1,1.6277902126312256,1.146144151687622,1.9179248809814453,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,2,2.0507619380950928,1.655888319015503,2.371142864227295,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,3,2.4696061611175537,2.214686632156372,2.7133688926696777,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,4,2.946650981903076,2.760375738143921,3.1365866661071777,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,5,3.3927993774414062,3.2899856567382812,3.490000009536743,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,6,4.669400215148926,4.571955680847168,4.844537734985352,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,7,4.936681747436523,4.7987236976623535,5.088840484619141,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,8,5.663143634796143,5.3792948722839355,5.907601833343506,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,9,6.2817792892456055,5.940300941467285,6.666853427886963,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,10,6.7071404457092285,6.257664203643799,7.052441120147705,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,11,7.231637477874756,6.620388507843018,7.839950084686279,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,corrint,12,10.485198974609375,10.026515007019043,11.084278106689453,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,corrint,0,2.9438507556915283,1.306040644645691,4.074401378631592,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,corrint,1,5.059955596923828,2.994511127471924,6.238761901855469,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,corrint,2,6.466830730438232,5.677602291107178,7.240902900695801,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,corrint,3,7.612951278686523,7.066524505615234,8.382254600524902,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,corrint,4,7.0122151374816895,6.3353986740112305,8.046868324279785,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
