subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,index,1,fishers,0,3.7555387020111084,3.6767797470092773,3.8094594478607178,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,1,3.8564915657043457,3.7903881072998047,3.9259095191955566,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,2,4.255305290222168,4.194454669952393,4.3277482986450195,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,3,4.805896759033203,4.753782749176025,4.882140159606934,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,4,5.1748199462890625,5.104678630828857,5.285491466522217,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,5,5.59188985824585,5.529425144195557,5.66391658782959,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,6,6.337131500244141,6.213623046875,6.409444808959961,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,7,6.699328422546387,6.58988618850708,6.807750701904297,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,8,7.097055435180664,6.946897983551025,7.234281539916992,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,9,8.07283878326416,7.95158052444458,8.212467193603516,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,10,8.440348625183105,8.276285171508789,8.566451072692871,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,11,8.665081024169922,8.530481338500977,8.826165199279785,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,fishers,12,6.530561447143555,6.261501312255859,6.672706127166748,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,0,4.9691619873046875,4.841317653656006,5.058417320251465,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,1,5.194993495941162,5.104619979858398,5.251884460449219,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,2,5.6652374267578125,5.554129600524902,5.715744972229004,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,3,6.836736679077148,6.687066078186035,6.921182632446289,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,4,7.160553932189941,6.998991012573242,7.296473979949951,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,5,7.718740463256836,7.5734453201293945,7.9335174560546875,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,6,8.36693000793457,8.262134552001953,8.60576343536377,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,7,8.536752700805664,8.420881271362305,8.773767471313477,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,8,8.813321113586426,8.65709400177002,9.07174301147461,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,9,9.00959587097168,8.826834678649902,9.291872024536133,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,10,8.811222076416016,8.6206636428833,9.05581283569336,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,11,8.75933837890625,8.579909324645996,9.01712417602539,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,fishers,12,8.783814430236816,8.549903869628906,9.037674903869629,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,0,5.317190170288086,5.249675273895264,5.37294864654541,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,1,5.551540851593018,5.503259658813477,5.601780891418457,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,2,6.4466423988342285,6.355544090270996,6.544949531555176,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,3,7.667934417724609,7.570403575897217,7.770559310913086,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,4,8.028882026672363,7.9707865715026855,8.133955001831055,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,5,8.522525787353516,8.368918418884277,8.62968635559082,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,6,9.187685012817383,9.067551612854004,9.283658027648926,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,7,9.397910118103027,9.257305145263672,9.504015922546387,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,8,9.60146713256836,9.504645347595215,9.661005973815918,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,9,9.870979309082031,9.76511287689209,10.037104606628418,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,10,9.551437377929688,9.38992977142334,9.721474647521973,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,11,9.435296058654785,9.241469383239746,9.628861427307129,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,fishers,12,9.493502616882324,9.31537914276123,9.672760963439941,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,0,5.186949729919434,5.103099346160889,5.297881126403809,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,1,5.490045547485352,5.428425312042236,5.552614688873291,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,2,6.395305156707764,6.285962104797363,6.455747604370117,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,3,7.6328020095825195,7.506699562072754,7.719118595123291,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,4,8.140707015991211,8.035943984985352,8.207297325134277,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,5,8.763381958007812,8.654539108276367,8.85395622253418,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,6,9.502323150634766,9.383405685424805,9.643917083740234,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,7,9.744386672973633,9.617314338684082,9.880156517028809,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,8,9.941681861877441,9.809252738952637,10.06563949584961,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,9,10.08668041229248,9.92809009552002,10.218213081359863,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,10,9.091376304626465,8.78837776184082,9.545706748962402,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,fishers,11,8.96274185180664,8.548256874084473,9.408808708190918,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
