subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,index,1,lpca99,0,418.75,411.0,426.29998779296875,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,1,502.875,497.0,508.4750061035156,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,2,534.125,529.1749877929688,538.4749755859375,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,3,562.625,559.1749877929688,565.6500244140625,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,4,579.875,577.1749877929688,582.6500244140625,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,5,598.125,596.1749877929688,600.6500244140625,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,6,611.125,610.0,612.8250122070312,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,7,613.5,612.1749877929688,614.8250122070312,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,8,617.125,616.0,618.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,9,628.125,627.0,629.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,10,636.25,635.1749877929688,637.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,11,643.125,642.1749877929688,644.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,lpca99,12,637.25,637.0,638.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,0,528.75,521.0499877929688,535.2999877929688,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,1,585.5,581.3499755859375,588.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,2,605.25,602.1749877929688,607.6500244140625,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,3,619.125,616.3499755859375,620.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,4,632.625,630.1749877929688,634.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,5,643.375,642.0,644.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,6,653.0,652.0,654.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,7,654.625,653.1749877929688,656.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,8,655.75,655.0,657.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,9,658.125,657.0,659.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,10,658.5,657.1749877929688,659.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,11,660.5,659.1749877929688,661.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,lpca99,12,658.25,657.1749877929688,659.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,0,545.375,536.3499755859375,553.6500244140625,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,1,597.375,592.1749877929688,601.8250122070312,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,2,617.0,613.1749877929688,620.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,3,629.75,626.3499755859375,631.8250122070312,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,4,644.25,641.3499755859375,646.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,5,654.875,652.3499755859375,656.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,6,664.875,663.1749877929688,666.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,7,668.0,667.0,669.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,8,668.875,668.0,670.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,9,669.625,668.1749877929688,671.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,lpca99,10,668.25,667.0,669.8250122070312,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
