subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,index,1,rand,0,0.2610122561454773,0.25377577543258667,0.26996928453445435,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,1,0.3010242283344269,0.2945796847343445,0.3085764944553375,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,2,0.3286202847957611,0.3211056888103485,0.3330773711204529,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,3,0.33128422498703003,0.32658979296684265,0.33729538321495056,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,4,0.3711887300014496,0.3635980784893036,0.3759995996952057,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,5,0.40357303619384766,0.3989354372024536,0.40652385354042053,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,6,0.39538389444351196,0.39120835065841675,0.3986262381076813,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,7,0.38637620210647583,0.381071537733078,0.3906100392341614,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,8,0.3599206805229187,0.35512417554855347,0.3647072911262512,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,9,0.308586984872818,0.3041304051876068,0.31323716044425964,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,10,0.3268347382545471,0.32225480675697327,0.33063891530036926,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,11,0.3814235031604767,0.3768424689769745,0.3857506513595581,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,rand,12,0.38612595200538635,0.38282671570777893,0.3893252909183502,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,rand,0,0.1855899691581726,0.17924949526786804,0.19438156485557556,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,rand,1,0.20881235599517822,0.2036796659231186,0.2127285897731781,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,rand,2,0.24875971674919128,0.24433977901935577,0.25559407472610474,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,rand,3,0.24219100177288055,0.23795706033706665,0.24725458025932312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,rand,4,0.2855076789855957,0.28164225816726685,0.2887299656867981,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,rand,5,0.3227914571762085,0.3199031352996826,0.3263230323791504,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
