subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,index,1,tle,0,,,,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,1,6.384880065917969,6.093179702758789,6.7129364013671875,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,2,6.301312446594238,6.080504417419434,6.648598670959473,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,3,6.346575736999512,6.011773586273193,6.7938690185546875,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,4,6.369350910186768,6.101955413818359,6.654476165771484,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,5,6.75004768371582,6.534903526306152,6.891613483428955,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,6,7.0253071784973145,6.728682994842529,7.212209701538086,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,7,7.2395219802856445,6.880626678466797,7.515119552612305,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,8,7.382120609283447,6.967645645141602,7.690489292144775,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,9,7.632909297943115,7.344401836395264,7.990761756896973,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,10,7.818629264831543,7.223067760467529,8.419062614440918,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,11,8.03927230834961,7.226289749145508,8.603296279907227,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,tle,12,8.499399185180664,8.092275619506836,8.789438247680664,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,tle,0,,,,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,tle,1,6.246066093444824,5.529790878295898,7.237934589385986,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,tle,2,6.217702865600586,5.748435974121094,7.114619255065918,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,tle,3,6.484145641326904,5.845099925994873,7.330904483795166,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,tle,4,6.642643928527832,6.071949005126953,7.595939636230469,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,tle,5,7.072473049163818,6.518856048583984,7.725028038024902,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
