subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,index,1,twonn,0,66.28214263916016,60.351470947265625,72.3072509765625,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,1,0.16807973384857178,0.16422618925571442,0.17283958196640015,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,2,0.16470018029212952,0.16102461516857147,0.16920359432697296,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,3,0.16327951848506927,0.15973339974880219,0.16795267164707184,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,4,0.16022889316082,0.15679235756397247,0.16476446390151978,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,5,0.1574651300907135,0.15423212945461273,0.16179972887039185,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,6,0.15494827926158905,0.15179769694805145,0.1593034416437149,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,7,0.15454557538032532,0.15139219164848328,0.15884464979171753,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,8,0.15432775020599365,0.1510915756225586,0.15882955491542816,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,9,0.15335533022880554,0.1502104103565216,0.15778234601020813,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,10,0.1512635499238968,0.14820852875709534,0.1555871218442917,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,11,0.15145033597946167,0.1484202742576599,0.15565453469753265,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,1,twonn,12,0.15410694479942322,0.1510239839553833,0.15836204588413239,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,0,0.20489606261253357,0.1842116117477417,0.25461509823799133,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,1,0.16462689638137817,0.1605510711669922,0.1693529635667801,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,2,0.16074994206428528,0.15681657195091248,0.16532793641090393,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,3,0.15878364443778992,0.15479625761508942,0.16341595351696014,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,4,0.15608330070972443,0.15217460691928864,0.16053248941898346,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,5,0.15381276607513428,0.15006287395954132,0.15799283981323242,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,6,0.15159940719604492,0.14795206487178802,0.15578611195087433,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,7,0.15122835338115692,0.14763066172599792,0.15540802478790283,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,8,0.15086126327514648,0.14730748534202576,0.1549566388130188,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,9,0.15027818083763123,0.1467893421649933,0.15423251688480377,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,10,0.14919093251228333,0.14555107057094574,0.15301667153835297,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,11,0.14962756633758545,0.1458444893360138,0.15335437655448914,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,2,twonn,12,0.15113434195518494,0.14756803214550018,0.15496979653835297,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,0,0.18869003653526306,0.18133065104484558,0.19673065841197968,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,1,0.16135551035404205,0.15705251693725586,0.16699843108654022,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,2,0.15752217173576355,0.15341971814632416,0.16314172744750977,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,3,0.1556856632232666,0.1517648845911026,0.16117003560066223,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,4,0.15292301774024963,0.14933021366596222,0.15812991559505463,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,5,0.15088099241256714,0.1473620980978012,0.15576288104057312,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,6,0.14878453314304352,0.1454443633556366,0.15339210629463196,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,7,0.14833605289459229,0.14498956501483917,0.15302827954292297,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,8,0.14796626567840576,0.14455342292785645,0.15263229608535767,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,9,0.14746639132499695,0.14405453205108643,0.15201778709888458,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,10,0.14622309803962708,0.1429491490125656,0.15062418580055237,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,11,0.14663317799568176,0.1434001922607422,0.15099354088306427,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,3,twonn,12,0.14915108680725098,0.14600329101085663,0.15361034870147705,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,0,0.18669843673706055,0.1771116405725479,0.1961255967617035,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,1,0.16338644921779633,0.15710826218128204,0.16821514070034027,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,2,0.15909487009048462,0.15287888050079346,0.16367778182029724,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,3,0.1571417599916458,0.151044100522995,0.16152888536453247,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,4,0.15412470698356628,0.1481824815273285,0.15835922956466675,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,5,0.15206848084926605,0.1463170349597931,0.15622659027576447,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,6,0.15007072687149048,0.1444816291332245,0.15420295298099518,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,7,0.14948806166648865,0.14387986063957214,0.153644397854805,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,8,0.1491195559501648,0.14360567927360535,0.15325748920440674,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,9,0.14884638786315918,0.14347539842128754,0.15284626185894012,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,10,0.14812685549259186,0.14249326288700104,0.15198257565498352,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,11,0.14880569279193878,0.14320185780525208,0.1525467187166214,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,4,twonn,12,0.15104950964450836,0.14566001296043396,0.15500904619693756,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,index,5,twonn,0,0.17951150238513947,0.17156243324279785,0.19065995514392853,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
