subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,index,1,corrint,0,1.3369346857070923,0.041686657816171646,8.55094051361084,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,1,0.02866600826382637,0.017460044473409653,0.07662291824817657,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,2,0.08728435635566711,0.06299786269664764,0.1532963514328003,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,3,0.061953797936439514,0.04890431836247444,0.06774631142616272,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,4,0.06378696858882904,0.050226300954818726,0.07843248546123505,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,5,0.08069083094596863,0.06137676164507866,0.12629278004169464,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,6,0.08700992912054062,0.060715414583683014,0.1266545057296753,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,7,0.08925917744636536,0.06130916252732277,0.12761715054512024,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,8,0.09000645577907562,0.06183657795190811,0.12831345200538635,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,9,0.08992942422628403,0.062285471707582474,0.1278284639120102,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,10,0.08938255161046982,0.06303197890520096,0.12836189568042755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,11,0.08908407390117645,0.06357159465551376,0.12426973879337311,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,corrint,12,0.08315976709127426,0.07618217170238495,0.09755997359752655,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,0,5.0036492347717285,4.633897304534912,5.744106292724609,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,1,4.580674648284912,3.691746950149536,5.3701348304748535,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,2,4.577225208282471,3.558297634124756,5.688546657562256,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,3,5.427239894866943,4.501054286956787,6.395331382751465,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,4,5.729006767272949,5.050861835479736,6.492204666137695,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,5,6.1520185470581055,5.77298641204834,6.525310039520264,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,6,6.467549800872803,5.988818168640137,6.931423664093018,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,7,6.65948486328125,6.108993053436279,7.1598219871521,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,8,6.732773780822754,6.186676979064941,7.21663761138916,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,9,6.378774166107178,5.9083051681518555,6.897039413452148,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,10,5.961800575256348,5.723158359527588,6.373465061187744,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,11,5.6901702880859375,5.495241165161133,6.029428482055664,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,corrint,12,4.795577526092529,4.477015972137451,5.085919380187988,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,0,6.637945175170898,6.400599479675293,6.873538970947266,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,1,6.476254463195801,5.598708629608154,7.0058770179748535,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,2,6.488460540771484,5.421084403991699,7.2181196212768555,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,3,7.540575981140137,6.190114498138428,8.617511749267578,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,4,9.064887046813965,8.10554313659668,9.910993576049805,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,5,9.900659561157227,8.9882173538208,10.736604690551758,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,6,10.580409049987793,9.692033767700195,11.429283142089844,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,7,10.629535675048828,9.802199363708496,11.463936805725098,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,8,10.799640655517578,9.850058555603027,11.723237037658691,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,corrint,9,10.116927146911621,9.405463218688965,10.875126838684082,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
