subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,index,1,fishers,0,2.4633073806762695,2.4369444847106934,2.4961636066436768,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,1,1.4799295663833618,1.4640264511108398,1.5046098232269287,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,2,0.5778029561042786,0.5729205012321472,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,3,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,4,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,5,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,6,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,7,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,8,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,9,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,10,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,11,0.5776011347770691,0.5728499293327332,0.5823270082473755,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,fishers,12,1.4962924718856812,0.7976830005645752,1.7337827682495117,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,0,4.780922889709473,4.592808723449707,4.861507892608643,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,1,5.096575736999512,4.948531627655029,5.162642002105713,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,2,5.55347204208374,5.448341369628906,5.633237838745117,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,3,5.913992404937744,5.759670734405518,6.030620098114014,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,4,6.347965717315674,6.184466361999512,6.454824447631836,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,5,6.6623358726501465,6.469457626342773,6.800264835357666,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,6,6.6937665939331055,6.479337215423584,6.841299057006836,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,7,6.651223182678223,6.459299087524414,6.801029205322266,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,8,6.6380228996276855,6.456676006317139,6.79694128036499,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,9,6.618778228759766,6.434330463409424,6.783546447753906,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,10,6.474853992462158,6.31456184387207,6.6663360595703125,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,11,5.5404276847839355,5.325676918029785,5.688631534576416,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,fishers,12,1.875265121459961,1.8685139417648315,1.8819518089294434,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,0,4.721929550170898,4.445068836212158,5.073254108428955,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,1,5.117554187774658,5.048644065856934,5.212765216827393,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,2,5.191669940948486,5.134130001068115,5.267521858215332,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,3,5.506998062133789,5.430471897125244,5.588717937469482,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,4,6.556011199951172,6.493771553039551,6.61519193649292,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,5,7.4619879722595215,7.3373003005981445,7.5805134773254395,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,6,7.99551248550415,7.8871564865112305,8.110054969787598,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,7,8.224504470825195,8.101702690124512,8.322973251342773,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,8,8.300315856933594,8.218118667602539,8.406145095825195,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,9,8.358440399169922,8.24457836151123,8.457311630249023,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,10,8.112629890441895,7.989446640014648,8.227988243103027,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,11,6.973464012145996,6.944567680358887,7.014983177185059,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,fishers,12,1.9195894002914429,1.9092196226119995,1.9244941473007202,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
